GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,21,23,3895,4524,0,1450,678017.26,174.073751,69.0476190,0,0,.289575290,4.14286778,A,A,Group Association- A,A / A,0,0,21,23,1450,3895,4524,678017.26,0,0,69.0476190,174.073751,0,.289575290,4.14286778
C,C,C,Group Corporate - C,0,0,71,72,3381,3560,0,10139,547535,161.944691,142.802817,0,0,.979040265,3.59615814,C,C,Corporate Group - C,C / C,0,0,71,72,10139,3381,3560,547535,0,0,142.802817,161.944691,0,.979040265,3.59615814
D,D,D,Discounts - D,39,102,1247,2398,13916,24706,4120.74,140725.160,1812156.40,130.221069,112.850971,105.66,15.0579151,17.1952565,14.8015784,D,D,Discounts - D,D / D,39,4120.74,1247,2398,140725.160256410256,13916,24706,1812156.400256410256,102,105.66,112.850971,130.221069,15.0579151,17.1952565,14.8015784
E,E,E,Consortium - E,0,0,85,91,1214,1246,0,12824,211068.1,173.861697,150.870588,0,0,1.17209046,1.29125584,E,E,Consortium - E,E / E,0,0,85,91,12824,1214,1246,211068.1,0,0,150.870588,173.861697,0,1.17209046,1.29125584
G,G,G,Rack - G,9,12,209,268,4051,5405,1180,30207.24,739676.63,182.591121,144.532249,131.111111,3.47490347,2.88196360,4.30879522,G,G,Rack - G,G / G,9,1180,209,268,30207.24,4051,5405,739676.63,12,131.111111,144.532249,182.591121,3.47490347,2.88196360,4.30879522
H,H,H,House Use - H,0,0,0,0,1,1,0,1724.15,14447.48,14447.48,0,0,0,0,.001063637,H,H,House Use - H,H / H,0,0,0,0,1724.15,1,1,14447.48,0,0,0,14447.48,0,0,.001063637
K,K,K,Package - K,2,4,66,131,960,1596,280,10395,170281.74,177.376813,157.5,140,.772200772,.910093767,1.02109193,K,K,Package - K,K / K,2,280,66,131,10395,960,1596,170281.74,4,140,157.5,177.376813,.772200772,.910093767,1.02109193
L,L,L,Local Corporate - L,0,0,26,26,556,563,0,4004.25,87947.9,158.179676,154.009615,0,0,.358521787,.591382410,L,L,Local Corporate- L,L / L,0,0,26,26,4004.25,556,563,87947.9,0,0,154.009615,158.179676,0,.358521787,.591382410
M,M,M,Government/Military - M,0,0,150,171,1449,1695,0,19802,199515.5,137.691856,132.013333,0,0,2.06839493,1.54121063,M,M,Government/Military - M,M / M,0,0,150,171,19802,1449,1695,199515.5,0,0,132.013333,137.691856,0,2.06839493,1.54121063
N,N,N,Complimentary - N,1,1,23,25,1371,1674,0,0,328.85,.239861415,0,0,.386100386,.317153889,1.45824691,N,N,Complimentary - N,N / N,1,0,23,25,0,1371,1674,328.85,1,0,0,.239861415,.386100386,.317153889,1.45824691
O,O,O,Contract/Other - O,4,4,326,350,7521,7601,408,33270,772323.12,102.688887,102.055215,102,1.54440154,4.49531164,7.99961709,O,O,Contract/Other - O,O / O,4,408,326,350,33270,7521,7601,772323.12,4,102,102.055215,102.688887,1.54440154,4.49531164,7.99961709
P,P,P,National Corporate - P,0,0,191,191,3685,3837,0,30590.5,628220.09,170.480350,160.159686,0,0,2.63375621,3.91950392,P,P,National Corporate- P,P / P,0,0,191,191,30590.5,3685,3837,628220.09,0,0,160.159686,170.480350,0,2.63375621,3.91950392
Q,Q,Q,Group Govt/Military - Q,0,0,368,368,1867,1933,0,49680,244449,130.931441,135,0,0,5.07446222,1.98581108,Q,Q,Group Govt/Military - Q,Q / Q,0,0,368,368,49680,1867,1933,244449,0,0,135,130.931441,0,5.07446222,1.98581108
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.011700012,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.011700012
T,T,T,Group Tour/Travel - T,0,0,47,47,151,183,0,6063,19439,128.735099,129,0,0,.648097077,.160609252,T,T,Group Tour/Travel - T,T / T,0,0,47,47,6063,151,183,19439,0,0,129,128.735099,0,.648097077,.160609252
