GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,21,23,3895,4524,0,1450,678017.26,174.073751,69.0476190,0,0,.311850312,4.16581996,A,A,Group Association- A,A / A,0,0,21,23,1450,3895,4524,678017.26,0,0,69.0476190,174.073751,0,.311850312,4.16581996
C,C,C,Group Corporate - C,0,0,71,72,3381,3560,0,10139,547535,161.944691,142.802817,0,0,1.05435105,3.61608146,C,C,Corporate Group - C,C / C,0,0,71,72,10139,3381,3560,547535,0,0,142.802817,161.944691,0,1.05435105,3.61608146
D,D,D,Discounts - D,37,93,1178,2209,13847,24517,3418.1,133436.650,1804867.89,130.343604,113.273897,92.3810811,14.2857143,17.4933175,14.8097841,D,D,Discounts - D,D / D,37,3418.1,1178,2209,133436.650256410256,13847,24517,1804867.890256410256,93,92.3810811,113.273897,130.343604,14.2857143,17.4933175,14.8097841
E,E,E,Consortium - E,0,0,84,90,1213,1245,0,12722,210966.1,173.920940,151.452381,0,0,1.24740125,1.29734008,E,E,Consortium - E,E / E,0,0,84,90,12722,1213,1245,210966.1,0,0,151.452381,173.920940,0,1.24740125,1.29734008
G,G,G,Rack - G,1,2,196,250,4038,5387,115,28517.24,737986.63,182.760433,145.496122,115,.386100386,2.91060291,4.31876277,G,G,Rack - G,G / G,1,115,196,250,28517.24,4038,5387,737986.63,2,115,145.496122,182.760433,.386100386,2.91060291,4.31876277
H,H,H,House Use - H,0,0,0,0,1,1,100,1622.15,14345.48,14345.48,0,0,0,0,.001069530,H,H,House Use - H,H / H,0,100,0,0,1622.15,1,1,14345.48,0,0,0,14345.48,0,0,.001069530
K,K,K,Package - K,3,7,63,125,957,1590,385,9985,169871.74,177.504431,158.492063,128.333333,1.15830116,.935550936,1.02354036,K,K,Package - K,K / K,3,385,63,125,9985,957,1590,169871.74,7,128.333333,158.492063,177.504431,1.15830116,.935550936,1.02354036
L,L,L,Local Corporate - L,0,0,26,26,556,563,0,4004.25,87947.9,158.179676,154.009615,0,0,.386100386,.594658766,L,L,Local Corporate- L,L / L,0,0,26,26,4004.25,556,563,87947.9,0,0,154.009615,158.179676,0,.386100386,.594658766
M,M,M,Government/Military - M,0,0,150,171,1449,1695,0,19802,199515.5,137.691856,132.013333,0,0,2.22750223,1.54974920,M,M,Government/Military - M,M / M,0,0,150,171,19802,1449,1695,199515.5,0,0,132.013333,137.691856,0,2.22750223,1.54974920
N,N,N,Complimentary - N,0,0,21,23,1369,1672,0,0,328.85,.240211833,0,0,0,.311850312,1.46418678,N,N,Complimentary - N,N / N,0,0,21,23,0,1369,1672,328.85,0,0,0,.240211833,0,.311850312,1.46418678
O,O,O,Contract/Other - O,4,4,317,341,7512,7592,408,32352,771405.12,102.689712,102.056782,102,1.54440154,4.70745471,8.03431053,O,O,Contract/Other - O,O / O,4,408,317,341,32352,7512,7592,771405.12,4,102,102.056782,102.689712,1.54440154,4.70745471,8.03431053
P,P,P,National Corporate - P,0,0,191,191,3685,3837,0,30590.5,628220.09,170.480350,160.159686,0,0,2.83635284,3.94121862,P,P,National Corporate- P,P / P,0,0,191,191,30590.5,3685,3837,628220.09,0,0,160.159686,170.480350,0,2.83635284,3.94121862
Q,Q,Q,Group Govt/Military - Q,0,0,368,368,1867,1933,0,49680,244449,130.931441,135,0,0,5.46480546,1.99681280,Q,Q,Group Govt/Military - Q,Q / Q,0,0,368,368,49680,1867,1933,244449,0,0,135,130.931441,0,5.46480546,1.99681280
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.011764832,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.011764832
T,T,T,Group Tour/Travel - T,0,0,47,47,151,183,0,6063,19439,128.735099,129,0,0,.697950698,.161499053,T,T,Group Tour/Travel - T,T / T,0,0,47,47,6063,151,183,19439,0,0,129,128.735099,0,.697950698,.161499053
U,U,U,Group SMERF - U,0,0,106,142,7428,11323,0,10844,981703.33,132.162538,102.301887,0,0,1.57410157,7.94446999,U,U,Group SMERF - U,U / U,0,0,106,142,10844,7428,11323,981703.33,0,0,102.301887,132.162538,0,1.57410157,7.94446999
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001069530,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001069530
W,W,W,Wholesale - W,0,0,120,126,1117,1278,0,13059.94,130339.02,116.686679,108.832833,0,0,1.78200178,1.19466518,W,W,Wholesale - W,W / W,0,0,120,126,13059.94,1117,1278,130339.02,0,0,108.832833,116.686679,0,1.78200178,1.19466518
