GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,177,191,338,394,3323,3901,35223,56044,567716.2,170.844478,165.810651,199,68.3397683,7.25010725,4.39387528,A,A,Group Association- A,A / A,177,35223,338,394,56044,3323,3901,567716.2,191,199,165.810651,170.844478,68.3397683,7.25010725,4.39387528
C,C,C,Group Corporate - C,14,16,266,272,2769,2936,2749,43112,449521,162.340556,162.075188,196.357143,5.40540541,5.70570571,3.66134236,C,C,Corporate Group - C,C / C,14,2749,266,272,43112,2769,2936,449521,16,196.357143,162.075188,162.340556,5.40540541,5.70570571,3.66134236
D,D,D,Discounts - D,11,19,769,1348,10414,18307,2094.1,97444.98,1376144.76,132.143726,126.716489,190.372727,4.24710425,16.4950665,13.7700323,D,D,Discounts - D,D / D,11,2094.1,769,1348,97444.98,10414,18307,1376144.76,19,190.372727,126.716489,132.143726,4.24710425,16.4950665,13.7700323
E,E,E,Consortium - E,18,18,78,80,976,996,4549.85,14794.05,171176.5,175.385758,189.667308,252.769444,6.94980695,1.67310167,1.29052732,E,E,Consortium - E,E / E,18,4549.85,78,80,14794.05,976,996,171176.5,18,252.769444,189.667308,175.385758,6.94980695,1.67310167,1.29052732
G,G,G,Rack - G,5,5,158,211,3463,4661,1315,25582.56,644173.85,186.016128,161.914937,263,1.93050193,3.38910339,4.57899191,G,G,Rack - G,G / G,5,1315,158,211,25582.56,3463,4661,644173.85,5,263,161.914937,186.016128,1.93050193,3.38910339,4.57899191
H,H,H,House Use - H,0,0,0,0,1,1,-102,434.2,11899.84,11899.84,0,0,0,0,.001322262,H,H,House Use - H,H / H,0,-102,0,0,434.2,1,1,11899.84,0,0,0,11899.84,0,0,.001322262
K,K,K,Package - K,0,0,37,57,819,1333,0,6200,145204.74,177.295165,167.567568,0,0,.793650794,1.08293225,K,K,Package - K,K / K,0,0,37,57,6200,819,1333,145204.74,0,0,167.567568,177.295165,0,.793650794,1.08293225
L,L,L,Local Corporate - L,3,3,19,19,438,445,415,2792.46,69612.65,158.932991,146.971579,138.333333,1.15830116,.407550408,.579150579,L,L,Local Corporate- L,L / L,3,415,19,19,2792.46,438,445,69612.65,3,138.333333,146.971579,158.932991,1.15830116,.407550408,.579150579
M,M,M,Government/Military - M,3,3,39,49,1111,1312,320.5,5056.5,154094.5,138.698920,129.653846,106.833333,1.15830116,.836550837,1.46903263,M,M,Government/Military - M,M / M,3,320.5,39,49,5056.5,1111,1312,154094.5,3,106.833333,129.653846,138.698920,1.15830116,.836550837,1.46903263
N,N,N,Complimentary - N,0,0,22,22,1318,1618,0,-287.26,523.85,.397458270,-13.057273,0,0,.471900472,1.74274078,N,N,Complimentary - N,N / N,0,0,22,22,-287.26,1318,1618,523.85,0,0,-13.057273,.397458270,0,.471900472,1.74274078
O,O,O,Contract/Other - O,18,18,357,358,6431,6480,1836,36414,661023.12,102.786988,102,102,6.94980695,7.65765766,8.50346433,O,O,Contract/Other - O,O / O,18,1836,357,358,36414,6431,6480,661023.12,18,102,102,102.786988,6.94980695,7.65765766,8.50346433
P,P,P,National Corporate - P,0,0,113,113,3084,3230,0,18217.75,531464.89,172.329731,161.219027,0,0,2.42385242,4.07785476,P,P,National Corporate- P,P / P,0,0,113,113,18217.75,3084,3230,531464.89,0,0,161.219027,172.329731,0,2.42385242,4.07785476
Q,Q,Q,Group Govt/Military - Q,0,0,1,1,989,1055,0,131,127475,128.892821,131,0,0,.021450021,1.30771672,Q,Q,Group Govt/Military - Q,Q / Q,0,0,1,1,131,989,1055,127475,0,0,131,128.892821,0,.021450021,1.30771672
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.014544878,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.014544878
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.136192944,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.136192944
U,U,U,Group SMERF - U,0,0,104,121,6658,10121,0,1755.9,877369.33,131.776709,16.8836538,0,0,2.23080223,8.80361771,U,U,Group SMERF - U,U / U,0,0,104,121,1755.9,6658,10121,877369.33,0,0,16.8836538,131.776709,0,2.23080223,8.80361771
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001322262,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001322262
W,W,W,Wholesale - W,10,10,21,24,837,990,1694,2916.75,97228.54,116.163130,138.892857,169.4,3.86100386,.450450450,1.10673296,W,W,Wholesale - W,W / W,10,1694,21,24,2916.75,837,990,97228.54,10,169.4,138.892857,116.163130,3.86100386,.450450450,1.10673296
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
259,283,2322,3069,42746,57535,193.414865,133.767825,138.019669,,50094.45,310608.89,5899788.77,56.5213942,49.8069498,100,MONTH,Rooms Month to Date,Room Revenue Month to Date
