GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,9,11,881,1194,2627,3122,1121,133186.5,460999.2,175.485040,151.176504,124.555556,3.47490347,28.3462033,6.18466899,A,A,Group Association- A,A / A,9,1121,881,1194,133186.5,2627,3122,460999.2,11,124.555556,151.176504,175.485040,3.47490347,28.3462033,6.18466899
C,C,C,Group Corporate - C,0,0,22,22,2039,2182,0,2970,342842,168.142227,135,0,0,.707850708,4.80035785,C,C,Corporate Group - C,C / C,0,0,22,22,2970,2039,2182,342842,0,0,135,168.142227,0,.707850708,4.80035785
D,D,D,Discounts - D,18,59,279,458,4898,8299,1975.34,41869.85,683743.74,139.596517,150.071147,109.741111,6.94980695,8.97683398,11.5312176,D,D,Discounts - D,D / D,18,1975.34,279,458,41869.85,4898,8299,683743.74,59,109.741111,150.071147,139.596517,6.94980695,8.97683398,11.5312176
E,E,E,Consortium - E,3,3,33,33,487,494,524.45,6288,93973.55,192.964168,190.545455,174.816667,1.15830116,1.06177606,1.14652981,E,E,Consortium - E,E / E,3,524.45,33,33,6288,487,494,93973.55,3,174.816667,190.545455,192.964168,1.15830116,1.06177606,1.14652981
G,G,G,Rack - G,11,14,86,112,2444,3211,1668.9,17365.49,481206.2,196.892881,201.924302,151.718182,4.24710425,2.76705277,5.75383746,G,G,Rack - G,G / G,11,1668.9,86,112,17365.49,2444,3211,481206.2,14,151.718182,201.924302,196.892881,4.24710425,2.76705277,5.75383746
H,H,H,House Use - H,0,0,0,0,0,0,175,-98.45,8832.07,0,0,0,0,0,0,H,H,House Use - H,H / H,0,175,0,0,-98.45,0,0,8832.07,0,0,0,0,0,0,0
K,K,K,Package - K,0,0,4,9,634,1020,0,701,115875.74,182.769306,175.25,0,0,.128700129,1.49260759,K,K,Package - K,K / K,0,0,4,9,701,634,1020,115875.74,0,0,175.25,182.769306,0,.128700129,1.49260759
L,L,L,Local Corporate - L,0,0,1,1,351,357,0,125,55730.74,158.777037,125,0,0,.032175032,.826348997,L,L,Local Corporate- L,L / L,0,0,1,1,125,351,357,55730.74,0,0,125,158.777037,0,.032175032,.826348997
M,M,M,Government/Military - M,1,1,22,23,766,906,131,2942,108677,141.875979,133.727273,131,.386100386,.707850708,1.80337132,M,M,Government/Military - M,M / M,1,131,22,23,2942,766,906,108677,1,131,133.727273,141.875979,.386100386,.707850708,1.80337132
N,N,N,Complimentary - N,7,7,42,45,1009,1307,0,.01,587.11,.581873142,.000238095,0,2.70270270,1.35135135,2.37545908,N,N,Complimentary - N,N / N,7,0,42,45,.01,1009,1307,587.11,7,0,.000238095,.581873142,2.70270270,1.35135135,2.37545908
O,O,O,Contract/Other - O,20,20,298,304,3649,3679,2244,30498,376392.12,103.149389,102.342282,112.2,7.72200772,9.58815959,8.59073359,O,O,Contract/Other - O,O / O,20,2244,298,304,30498,3649,3679,376392.12,20,112.2,102.342282,103.149389,7.72200772,9.58815959,8.59073359
