GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,2646,3141,0,-2601,460552.2,174.056009,0,0,0,0,4.95932826,A,A,Group Association- A,A / A,0,0,0,0,-2601,2646,3141,460552.2,0,0,0,174.056009,0,0,4.95932826
C,C,C,Group Corporate - C,0,0,0,0,2243,2404,0,0,369777,164.858226,0,0,0,0,4.20399595,C,C,Corporate Group - C,C / C,0,0,0,0,0,2243,2404,369777,0,0,0,164.858226,0,0,4.20399595
D,D,D,Discounts - D,54,111,1078,1964,6624,11403,6461.45,126763.58,897436.87,135.482619,117.591447,119.656481,20.8494208,17.3423423,12.4151891,D,D,Discounts - D,D / D,54,6461.45,1078,1964,126763.58,6624,11403,897436.87,111,119.656481,117.591447,135.482619,20.8494208,17.3423423,12.4151891
E,E,E,Consortium - E,5,5,57,57,575,591,639.25,7793.25,107019.9,186.121565,136.723684,127.85,1.93050193,.916988417,1.07770739,E,E,Consortium - E,E / E,5,639.25,57,57,7793.25,575,591,107019.9,5,127.85,136.723684,186.121565,1.93050193,.916988417,1.07770739
G,G,G,Rack - G,3,5,172,289,2690,3588,432.5,23041.55,516641.75,192.060130,133.9625,144.166667,1.15830116,2.76705277,5.04179630,G,G,Rack - G,G / G,3,432.5,172,289,23041.55,2690,3588,516641.75,5,144.166667,133.9625,192.060130,1.15830116,2.76705277,5.04179630
H,H,H,House Use - H,0,0,1,1,1,1,102,-2274.63,7340.81,7340.81,-2274.63,0,0,.016087516,.001874274,H,H,House Use - H,H / H,0,102,1,1,-2274.63,1,1,7340.81,0,0,-2274.63,7340.81,0,.016087516,.001874274
K,K,K,Package - K,0,0,26,55,679,1100,-150,3781,123049.74,181.222003,145.423077,0,0,.418275418,1.27263186,K,K,Package - K,K / K,0,-150,26,55,3781,679,1100,123049.74,0,0,145.423077,181.222003,0,.418275418,1.27263186
L,L,L,Local Corporate - L,0,0,8,8,374,380,0,1422.79,59497.59,159.084465,177.84875,0,0,.128700129,.700978371,L,L,Local Corporate- L,L / L,0,0,8,8,1422.79,374,380,59497.59,0,0,177.84875,159.084465,0,.128700129,.700978371
M,M,M,Government/Military - M,3,3,53,58,859,1016,393,7033,121000,140.861467,132.698113,131,1.15830116,.852638353,1.61000112,M,M,Government/Military - M,M / M,3,393,53,58,7033,859,1016,121000,3,131,132.698113,140.861467,1.15830116,.852638353,1.61000112
N,N,N,Complimentary - N,1,1,106,106,1196,1494,0,224,811.11,.678185619,2.11320755,0,.386100386,1.70527671,2.24163137,N,N,Complimentary - N,N / N,1,0,106,106,224,1196,1494,811.11,1,0,2.11320755,.678185619,.386100386,1.70527671,2.24163137
O,O,O,Contract/Other - O,19,19,484,484,4611,4641,1938,49521,474669.12,102.942772,102.316116,102,7.33590734,7.78635779,8.64227612,O,O,Contract/Other - O,O / O,19,1938,484,484,49521,4611,4641,474669.12,19,102,102.316116,102.942772,7.33590734,7.78635779,8.64227612
P,P,P,National Corporate - P,5,5,106,116,2502,2636,784.25,17448.25,436592.28,174.497314,164.606132,156.85,1.93050193,1.70527671,4.68943284,P,P,National Corporate- P,P / P,5,784.25,106,116,17448.25,2502,2636,436592.28,5,156.85,164.606132,174.497314,1.93050193,1.70527671,4.68943284
Q,Q,Q,Group Govt/Military - Q,0,0,8,8,519,576,0,1048,70436,135.714836,131,0,0,.128700129,.972748060,Q,Q,Group Govt/Military - Q,Q / Q,0,0,8,8,1048,519,576,70436,0,0,131,135.714836,0,.128700129,.972748060
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.020617011,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.020617011
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.193050193,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.193050193
U,U,U,Group SMERF - U,4,6,1142,1285,4821,7562,336,124531,645841.43,133.964205,109.046410,84,1.54440154,18.3719434,9.03587360,U,U,Group SMERF - U,U / U,4,336,1142,1285,124531,4821,7562,645841.43,6,84,109.046410,133.964205,1.54440154,18.3719434,9.03587360
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001874274,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001874274
