GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,148,189,3133,3696,-338,18234,529906.2,169.136993,123.202703,0,0,5.71428571,4.25933982,A,A,Group Association- A,A / A,0,-338,148,189,18234,3133,3696,529906.2,0,0,123.202703,169.136993,0,5.71428571,4.25933982
C,C,C,Group Corporate - C,28,28,113,113,2616,2777,4452,18037,424446,162.25,159.619469,159,10.8108108,4.36293436,3.55647398,C,C,Corporate Group - C,C / C,28,4452,113,113,18037,2616,2777,424446,28,159,159.619469,162.25,10.8108108,4.36293436,3.55647398
D,D,D,Discounts - D,28,40,400,705,10045,17664,4695.92,51315.8,1330015.58,132.405732,128.2895,167.711429,10.8108108,15.4440154,13.6562619,D,D,Discounts - D,D / D,28,4695.92,400,705,51315.8,10045,17664,1330015.58,40,167.711429,128.2895,132.405732,10.8108108,15.4440154,13.6562619
E,E,E,Consortium - E,2,2,27,29,925,945,357,4607,160989.45,174.042649,170.629630,178.5,.772200772,1.04247104,1.25754527,E,E,Consortium - E,E / E,2,357,27,29,4607,925,945,160989.45,2,178.5,170.629630,174.042649,.772200772,1.04247104,1.25754527
G,G,G,Rack - G,6,9,78,108,3383,4558,1219,12284.56,630875.85,186.484141,157.494359,203.166667,2.31660232,3.01158301,4.59921692,G,G,Rack - G,G / G,6,1219,78,108,12284.56,3383,4558,630875.85,9,203.166667,157.494359,186.484141,2.31660232,3.01158301,4.59921692
H,H,H,House Use - H,0,0,0,0,1,1,0,-94.14,11371.5,11371.5,0,0,0,0,.001359508,H,H,House Use - H,H / H,0,0,0,0,-94.14,1,1,11371.5,0,0,0,11371.5,0,0,.001359508
K,K,K,Package - K,2,2,16,26,798,1302,420,2570,141574.74,177.411955,160.625,210,.772200772,.617760618,1.08488770,K,K,Package - K,K / K,2,420,16,26,2570,798,1302,141574.74,2,210,160.625,177.411955,.772200772,.617760618,1.08488770
L,L,L,Local Corporate - L,0,0,1,1,420,427,0,179,66999.19,159.521881,179,0,0,.038610039,.570993529,L,L,Local Corporate- L,L / L,0,0,1,1,179,420,427,66999.19,0,0,179,159.521881,0,.038610039,.570993529
M,M,M,Government/Military - M,0,0,14,17,1086,1280,0,1804,150842,138.896869,128.857143,0,0,.540540541,1.47642612,M,M,Government/Military - M,M / M,0,0,14,17,1804,1086,1280,150842,0,0,128.857143,138.896869,0,.540540541,1.47642612
N,N,N,Complimentary - N,0,0,11,11,1307,1607,0,0,811.11,.620589135,0,0,0,.424710425,1.77687748,N,N,Complimentary - N,N / N,0,0,11,11,0,1307,1607,811.11,0,0,0,.620589135,0,.424710425,1.77687748
O,O,O,Contract/Other - O,20,20,200,201,6274,6323,2040,20400,645009.12,102.806682,102,102,7.72200772,7.72200772,8.52955571,O,O,Contract/Other - O,O / O,20,2040,200,201,20400,6274,6323,645009.12,20,102,102,102.806682,7.72200772,7.72200772,8.52955571
P,P,P,National Corporate - P,12,12,74,74,3045,3191,1956,11792,525039.14,172.426647,159.351351,163,4.63320463,2.85714286,4.13970308,P,P,National Corporate- P,P / P,12,1956,74,74,11792,3045,3191,525039.14,12,163,159.351351,172.426647,4.63320463,2.85714286,4.13970308
Q,Q,Q,Group Govt/Military - Q,0,0,1,1,989,1055,0,131,127475,128.892821,131,0,0,.038610039,1.34455381,Q,Q,Group Govt/Military - Q,Q / Q,0,0,1,1,131,989,1055,127475,0,0,131,128.892821,0,.038610039,1.34455381
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.014954592,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.014954592
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.140029365,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.140029365
U,U,U,Group SMERF - U,4,4,94,110,6648,10110,556,445.9,876059.33,131.777878,4.74361702,139,1.54440154,3.62934363,9.03801185,U,U,Group SMERF - U,U / U,4,556,94,110,445.9,6648,10110,876059.33,4,139,4.74361702,131.777878,1.54440154,3.62934363,9.03801185
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001359508,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001359508
W,W,W,Wholesale - W,0,0,3,3,819,969,0,285,94596.79,115.502796,95,0,0,.115830116,1.11343738,W,W,Wholesale - W,W / W,0,0,3,3,285,819,969,94596.79,0,0,95,115.502796,0,.115830116,1.11343738
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
102,117,1180,1588,41604,56054,150.567843,120.331458,137.755288,,15357.92,141991.12,5731171,56.5609875,45.5598456,39.3822394,MONTH,Rooms Month to Date,Room Revenue Month to Date
