GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,148,189,3133,3696,0,18234,529906.2,169.136993,123.202703,0,0,3.57142857,4.17121555,A,A,Group Association- A,A / A,0,0,148,189,18234,3133,3696,529906.2,0,0,123.202703,169.136993,0,3.57142857,4.17121555
C,C,C,Group Corporate - C,8,10,241,243,2744,2907,1296,38581,444990,162.168367,160.087137,162,3.08880309,5.81563707,3.65330848,C,C,Corporate Group - C,C / C,8,1296,241,243,38581,2744,2907,444990,10,162,160.087137,162.168367,3.08880309,5.81563707,3.65330848
D,D,D,Discounts - D,42,76,740,1302,10385,18261,5937.19,92940.56,1371640.34,132.078993,125.595351,141.361667,16.2162162,17.8571429,13.8263880,D,D,Discounts - D,D / D,42,5937.19,740,1302,92940.56,10385,18261,1371640.34,76,141.361667,125.595351,132.078993,16.2162162,17.8571429,13.8263880
E,E,E,Consortium - E,2,2,58,60,956,976,395.1,9795.1,166177.55,173.825889,168.881034,197.55,.772200772,1.39961390,1.27279989,E,E,Consortium - E,E / E,2,395.1,58,60,9795.1,956,976,166177.55,2,197.55,168.881034,173.825889,.772200772,1.39961390,1.27279989
G,G,G,Rack - G,6,9,150,203,3455,4653,1050,23592.56,642183.85,185.870868,157.283733,175,2.31660232,3.61969112,4.59992012,G,G,Rack - G,G / G,6,1050,150,203,23592.56,3455,4653,642183.85,9,175,157.283733,185.870868,2.31660232,3.61969112,4.59992012
H,H,H,House Use - H,0,0,0,0,1,1,333.2,520.06,11985.7,11985.7,0,0,0,0,.001331381,H,H,House Use - H,H / H,0,333.2,0,0,520.06,1,1,11985.7,0,0,0,11985.7,0,0,.001331381
K,K,K,Package - K,1,1,37,57,819,1333,190,6200,145204.74,177.295165,167.567568,190,.386100386,.892857143,1.09040075,K,K,Package - K,K / K,1,190,37,57,6200,819,1333,145204.74,1,190,167.567568,177.295165,.386100386,.892857143,1.09040075
L,L,L,Local Corporate - L,2,2,13,13,432,439,290,1962.46,68782.65,159.219097,150.958462,145,.772200772,.313706564,.575156437,L,L,Local Corporate- L,L / L,2,290,13,13,1962.46,432,439,68782.65,2,145,150.958462,159.219097,.772200772,.313706564,.575156437
M,M,M,Government/Military - M,1,1,34,44,1106,1307,135,4466,153504,138.792043,131.352941,135,.386100386,.820463320,1.47250699,M,M,Government/Military - M,M / M,1,135,34,44,4466,1106,1307,153504,1,135,131.352941,138.792043,.386100386,.820463320,1.47250699
N,N,N,Complimentary - N,2,2,21,21,1317,1617,0,-287.26,523.85,.397760061,-13.679048,0,.772200772,.506756757,1.75342831,N,N,Complimentary - N,N / N,2,0,21,21,-287.26,1317,1617,523.85,2,0,-13.679048,.397760061,.772200772,.506756757,1.75342831
O,O,O,Contract/Other - O,20,20,318,319,6392,6441,2040,32436,657045.12,102.791790,102,102,7.72200772,7.67374517,8.51018506,O,O,Contract/Other - O,O / O,20,2040,318,319,32436,6392,6441,657045.12,20,102,102,102.791790,7.72200772,7.67374517,8.51018506
P,P,P,National Corporate - P,4,4,107,107,3078,3224,648,17245.75,530492.89,172.349867,161.175234,162,1.54440154,2.58204633,4.09798962,P,P,National Corporate- P,P / P,4,648,107,107,17245.75,3078,3224,530492.89,4,162,161.175234,172.349867,1.54440154,2.58204633,4.09798962
Q,Q,Q,Group Govt/Military - Q,0,0,1,1,989,1055,0,131,127475,128.892821,131,0,0,.024131274,1.31673545,Q,Q,Group Govt/Military - Q,Q / Q,0,0,1,1,131,989,1055,127475,0,0,131,128.892821,0,.024131274,1.31673545
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.014645187,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.014645187
