GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,21,23,3895,4524,0,1450,678017.26,174.073751,69.0476190,0,0,.352526439,4.20072906,A,A,Group Association- A,A / A,0,0,21,23,1450,3895,4524,678017.26,0,0,69.0476190,174.073751,0,.352526439,4.20072906
C,C,C,Group Corporate - C,0,0,71,72,3381,3560,0,10139,547535,161.944691,142.802817,0,0,1.19187510,3.64638381,C,C,Corporate Group - C,C / C,0,0,71,72,10139,3381,3560,547535,0,0,142.802817,161.944691,0,1.19187510,3.64638381
D,D,D,Discounts - D,23,43,1087,2014,13756,24322,2085.6,125182.850,1796614.09,130.605851,115.163616,90.6782609,8.88030888,18.2474400,14.8357456,D,D,Discounts - D,D / D,23,2085.6,1087,2014,125182.850256410256,13756,24322,1796614.090256410256,43,90.6782609,115.163616,130.605851,8.88030888,18.2474400,14.8357456
E,E,E,Consortium - E,0,0,84,90,1213,1245,0,12722,210966.1,173.920940,151.452381,0,0,1.41010576,1.30821164,E,E,Consortium - E,E / E,0,0,84,90,12722,1213,1245,210966.1,0,0,151.452381,173.920940,0,1.41010576,1.30821164
G,G,G,Rack - G,2,2,186,234,4028,5371,230,27372.24,736841.63,182.929898,147.162581,115,.772200772,3.12237704,4.34416859,G,G,Rack - G,G / G,2,230,186,234,27372.24,4028,5371,736841.63,2,115,147.162581,182.929898,.772200772,3.12237704,4.34416859
H,H,H,House Use - H,0,0,0,0,1,1,120,1309.15,14032.48,14032.48,0,0,0,0,.001078493,H,H,House Use - H,H / H,0,120,0,0,1309.15,1,1,14032.48,0,0,0,14032.48,0,0,.001078493
K,K,K,Package - K,5,12,54,103,948,1568,630,8840,168726.74,177.981793,163.703704,126,1.93050193,.906496559,1.02241108,K,K,Package - K,K / K,5,630,54,103,8840,948,1568,168726.74,12,126,163.703704,177.981793,1.93050193,.906496559,1.02241108
L,L,L,Local Corporate - L,0,0,26,26,556,563,0,4004.25,87947.9,158.179676,154.009615,0,0,.436461306,.599641940,L,L,Local Corporate- L,L / L,0,0,26,26,4004.25,556,563,87947.9,0,0,154.009615,158.179676,0,.436461306,.599641940
M,M,M,Government/Military - M,0,0,150,171,1449,1695,-145,19802,199515.5,137.691856,132.013333,0,0,2.51804600,1.56273592,M,M,Government/Military - M,M / M,0,-145,150,171,19802,1449,1695,199515.5,0,0,132.013333,137.691856,0,2.51804600,1.56273592
N,N,N,Complimentary - N,0,0,21,23,1369,1672,0,0,328.85,.240211833,0,0,0,.352526439,1.47645650,N,N,Complimentary - N,N / N,0,0,21,23,0,1369,1672,328.85,0,0,0,.240211833,0,.352526439,1.47645650
