GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,3874,4501,0,0,676567.26,174.643072,0,0,0,0,4.42530443,A,A,Group Association- A,A / A,0,0,0,0,0,3874,4501,676567.26,0,0,0,174.643072,0,0,4.42530443
C,C,C,Group Corporate - C,0,0,18,18,3328,3506,0,2502,539898,162.228966,139,0,0,2.31660232,3.80160380,C,C,Corporate Group - C,C / C,0,0,18,18,2502,3328,3506,539898,0,0,139,162.228966,0,2.31660232,3.80160380
D,D,D,Discounts - D,75,141,194,353,12863,22661,9638.36,24830.03,1696261.27,131.871357,127.989845,128.511467,28.9575290,24.9678250,14.6935185,D,D,Discounts - D,D / D,75,9638.36,194,353,24830.03,12863,22661,1696261.27,141,128.511467,127.989845,131.871357,28.9575290,24.9678250,14.6935185
E,E,E,Consortium - E,0,0,2,2,1131,1157,0,314.5,198558.6,175.560212,157.25,0,0,.257400257,1.29195129,E,E,Consortium - E,E / E,0,0,2,2,314.5,1131,1157,198558.6,0,0,157.25,175.560212,0,.257400257,1.29195129
G,G,G,Rack - G,11,17,30,37,3872,5174,1854,4771,714240.39,184.462911,159.033333,168.545455,4.24710425,3.86100386,4.42301981,G,G,Rack - G,G / G,11,1854,30,37,4771,3872,5174,714240.39,17,168.545455,159.033333,184.462911,4.24710425,3.86100386,4.42301981
H,H,H,House Use - H,0,0,0,0,1,1,204,823.5,13546.83,13546.83,0,0,0,0,.001142309,H,H,House Use - H,H / H,0,204,0,0,823.5,1,1,13546.83,0,0,0,13546.83,0,0,.001142309
K,K,K,Package - K,4,8,9,16,903,1481,805,1835,161721.74,179.093843,203.888889,201.25,1.54440154,1.15830116,1.03150488,K,K,Package - K,K / K,4,805,9,16,1835,903,1481,161721.74,8,201.25,203.888889,179.093843,1.54440154,1.15830116,1.03150488
L,L,L,Local Corporate - L,0,0,0,0,530,537,0,0,83943.65,158.384245,0,0,0,0,.605423682,L,L,Local Corporate- L,L / L,0,0,0,0,0,530,537,83943.65,0,0,0,158.384245,0,0,.605423682
M,M,M,Government/Military - M,8,11,20,26,1319,1550,1100,2720,182433.5,138.311979,136,137.5,3.08880309,2.57400257,1.50670535,M,M,Government/Military - M,M / M,8,1100,20,26,2720,1319,1550,182433.5,11,137.5,136,138.311979,3.08880309,2.57400257,1.50670535
N,N,N,Complimentary - N,2,2,4,4,1352,1653,0,0,328.85,.243232249,0,0,.772200772,.514800515,1.54440154,N,N,Complimentary - N,N / N,2,0,4,4,0,1352,1653,328.85,2,0,0,.243232249,.772200772,.514800515,1.54440154
O,O,O,Contract/Other - O,10,10,26,26,7221,7277,1020,2652,741705.12,102.715015,102,102,3.86100386,3.34620335,8.24861209,O,O,Contract/Other - O,O / O,10,1020,26,26,2652,7221,7277,741705.12,10,102,102,102.715015,3.86100386,3.34620335,8.24861209
P,P,P,National Corporate - P,3,3,17,17,3511,3663,486,2754,600383.59,171.000738,162,162,1.15830116,2.18790219,4.01064632,P,P,National Corporate- P,P / P,3,486,17,17,2754,3511,3663,600383.59,3,162,162,171.000738,1.15830116,2.18790219,4.01064632
Q,Q,Q,Group Govt/Military - Q,0,0,0,0,1499,1565,0,0,194769,129.932622,0,0,0,0,1.71232094,Q,Q,Group Govt/Military - Q,Q / Q,0,0,0,0,0,1499,1565,194769,0,0,0,129.932622,0,0,1.71232094
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.012565397,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.012565397
T,T,T,Group Tour/Travel - T,10,10,30,30,134,166,1290,3870,17246,128.701493,129,129,3.86100386,3.86100386,.153069384,T,T,Group Tour/Travel - T,T / T,10,1290,30,30,3870,134,166,17246,10,129,129,128.701493,3.86100386,3.86100386,.153069384
U,U,U,Group SMERF - U,42,57,66,83,7388,11264,4288,6904,977763.33,132.344793,104.606061,102.095238,16.2162162,8.49420849,8.43937767,U,U,Group SMERF - U,U / U,42,4288,66,83,6904,7388,11264,977763.33,57,102.095238,104.606061,132.344793,16.2162162,8.49420849,8.43937767
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001142309,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001142309
W,W,W,Wholesale - W,27,27,53,53,1050,1205,2590,5027,122306.08,116.481981,94.8490566,95.9259259,10.4247104,6.82110682,1.19942428,W,W,Wholesale - W,W / W,27,2590,53,53,5027,1050,1205,122306.08,27,95.9259259,94.8490566,116.481981,10.4247104,6.82110682,1.19942428
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
192,286,469,665,49988,67375,121.225833,125.806034,138.504965,,23275.36,59003.03,6923586.21,57.1017340,60.3603604,74.1312741,MONTH,Rooms Month to Date,Room Revenue Month to Date
