GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,2646,3141,0,-2601,460552.2,174.056009,0,0,0,0,5.26609083,A,A,Group Association- A,A / A,0,0,0,0,-2601,2646,3141,460552.2,0,0,0,174.056009,0,0,5.26609083
C,C,C,Group Corporate - C,0,0,0,0,2243,2404,0,0,369777,164.858226,0,0,0,0,4.46403694,C,C,Corporate Group - C,C / C,0,0,0,0,0,2243,2404,369777,0,0,0,164.858226,0,0,4.46403694
D,D,D,Discounts - D,43,61,337,589,5883,10028,6362.54,40686.86,811360.15,137.916055,120.732522,147.966047,16.6023166,10.8429858,11.7083947,D,D,Discounts - D,D / D,43,6362.54,337,589,40686.86,5883,10028,811360.15,61,147.966047,120.732522,137.916055,16.6023166,10.8429858,11.7083947
E,E,E,Consortium - E,1,1,17,17,535,551,171,2343.5,101570.15,189.850748,137.852941,171,.386100386,.546975547,1.06476137,E,E,Consortium - E,E / E,1,171,17,17,2343.5,535,551,101570.15,1,171,137.852941,189.850748,.386100386,.546975547,1.06476137
G,G,G,Rack - G,10,10,92,178,2610,3477,1730.5,11764.05,505364.25,193.626149,127.870109,173.05,3.86100386,2.96010296,5.19444334,G,G,Rack - G,G / G,10,1730.5,92,178,11764.05,2610,3477,505364.25,10,173.05,127.870109,193.626149,3.86100386,2.96010296,5.19444334
H,H,H,House Use - H,0,0,1,1,1,1,0,-2111.84,7503.6,7503.6,-2111.84,0,0,.032175032,.001990208,H,H,House Use - H,H / H,0,0,1,1,-2111.84,1,1,7503.6,0,0,-2111.84,7503.6,0,.032175032,.001990208
K,K,K,Package - K,0,0,14,27,667,1072,0,2165,121433.74,182.059580,154.642857,0,0,.450450450,1.32746885,K,K,Package - K,K / K,0,0,14,27,2165,667,1072,121433.74,0,0,154.642857,182.059580,0,.450450450,1.32746885
L,L,L,Local Corporate - L,1,1,2,2,368,374,175.28,342.01,58416.81,158.741332,171.005,175.28,.386100386,.064350064,.732396609,L,L,Local Corporate- L,L / L,1,175.28,2,2,342.01,368,374,58416.81,1,175.28,171.005,158.741332,.386100386,.064350064,.732396609
M,M,M,Government/Military - M,2,2,9,9,815,967,262,1209,115176,141.320245,134.333333,131,.772200772,.289575290,1.62201966,M,M,Government/Military - M,M / M,2,262,9,9,1209,815,967,115176,2,131,134.333333,141.320245,.772200772,.289575290,1.62201966
N,N,N,Complimentary - N,6,6,81,81,1171,1469,0,224,811.11,.692664389,2.76543210,0,2.31660232,2.60617761,2.33053377,N,N,Complimentary - N,N / N,6,0,81,81,224,1171,1469,811.11,6,0,2.76543210,.692664389,2.31660232,2.60617761,2.33053377
O,O,O,Contract/Other - O,20,20,240,240,4367,4397,2040,24633,449781.12,102.995448,102.6375,102,7.72200772,7.72200772,8.69123910,O,O,Contract/Other - O,O / O,20,2040,240,240,24633,4367,4397,449781.12,20,102,102.6375,102.995448,7.72200772,7.72200772,8.69123910
P,P,P,National Corporate - P,11,12,37,42,2433,2562,1823,6114,425258.03,174.787517,165.243243,165.727273,4.24710425,1.19047619,4.84217649,P,P,National Corporate- P,P / P,11,1823,37,42,6114,2433,2562,425258.03,12,165.727273,165.243243,174.787517,4.24710425,1.19047619,4.84217649
Q,Q,Q,Group Govt/Military - Q,0,0,0,0,511,568,0,0,69388,135.788650,0,0,0,0,1.01699638,Q,Q,Group Govt/Military - Q,Q / Q,0,0,0,0,0,511,568,69388,0,0,0,135.788650,0,0,1.01699638
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.021892290,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.021892290
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.204991442,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.204991442
U,U,U,Group SMERF - U,2,3,905,957,4584,7234,218,100725,622035.43,135.697083,111.298343,109,.772200772,29.1184041,9.12311428,U,U,Group SMERF - U,U / U,2,218,905,957,100725,4584,7234,622035.43,3,109,111.298343,135.697083,.772200772,29.1184041,9.12311428
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001990208,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001990208
W,W,W,Wholesale - W,1,1,14,14,698,839,179,1582,80038.29,114.668037,113,179,.386100386,.450450450,1.38916531,W,W,Wholesale - W,W / W,1,179,14,14,1582,698,839,80038.29,1,179,113,114.668037,.386100386,.450450450,1.38916531
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
