GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,23,23,2669,3164,0,2507,461269.2,172.824728,109,0,0,.467384678,4.44181867,A,A,Group Association- A,A / A,0,0,23,23,2507,2669,3164,461269.2,0,0,109,172.824728,0,.467384678,4.44181867
C,C,C,Group Corporate - C,0,0,111,111,2354,2515,0,13748,383525,162.924809,123.855856,0,0,2.25563910,3.91758754,C,C,Corporate Group - C,C / C,0,0,111,111,13748,2354,2515,383525,0,0,123.855856,162.924809,0,2.25563910,3.91758754
D,D,D,Discounts - D,25,51,606,1147,7782,13636,2867.03,76864.65,1039106.68,133.526944,126.839356,114.6812,9.65250965,12.3145702,12.9510052,D,D,Discounts - D,D / D,25,2867.03,606,1147,76864.65,7782,13636,1039106.68,51,114.6812,126.839356,133.526944,9.65250965,12.3145702,12.9510052
E,E,E,Consortium - E,1,1,97,97,707,723,110.5,14373.75,125955.65,178.155092,148.182990,110.5,.386100386,1.97114408,1.17660764,E,E,Consortium - E,E / E,1,110.5,97,97,14373.75,707,723,125955.65,1,110.5,148.182990,178.155092,.386100386,1.97114408,1.17660764
G,G,G,Rack - G,2,2,136,259,2842,3864,66.25,18947.5,537907.25,189.270672,139.319853,33.125,.772200772,2.76366592,4.72972973,G,G,Rack - G,G / G,2,66.25,136,259,18947.5,2842,3864,537907.25,2,33.125,139.319853,189.270672,.772200772,2.76366592,4.72972973
H,H,H,House Use - H,0,0,0,0,1,1,0,-413.62,6818.27,6818.27,0,0,0,0,.001664226,H,H,House Use - H,H / H,0,0,0,0,-413.62,1,1,6818.27,0,0,0,6818.27,0,0,.001664226
K,K,K,Package - K,1,1,18,34,716,1156,120,2680,128674.74,179.713324,148.888889,120,.386100386,.365779313,1.19158567,K,K,Package - K,K / K,1,120,18,34,2680,716,1156,128674.74,1,120,148.888889,179.713324,.386100386,.365779313,1.19158567
L,L,L,Local Corporate - L,5,5,27,27,405,411,895,4527.5,64565.09,159.419975,167.685185,179,1.93050193,.548668970,.674011450,L,L,Local Corporate- L,L / L,5,895,27,27,4527.5,405,411,64565.09,5,179,167.685185,159.419975,1.93050193,.548668970,.674011450
M,M,M,Government/Military - M,2,2,58,61,927,1087,262,7777,130081,140.324703,134.086207,131,.772200772,1.17862223,1.54273732,M,M,Government/Military - M,M / M,2,262,58,61,7777,927,1087,130081,2,131,134.086207,140.324703,.772200772,1.17862223,1.54273732
N,N,N,Complimentary - N,1,1,42,43,1249,1548,0,0,811.11,.649407526,0,0,.386100386,.853485064,2.07861803,N,N,Complimentary - N,N / N,1,0,42,43,0,1249,1548,811.11,1,0,0,.649407526,.386100386,.853485064,2.07861803
O,O,O,Contract/Other - O,20,20,394,397,5150,5194,2040,40290,529953.12,102.903518,102.258883,102,7.72200772,8.00650274,8.57076288,O,O,Contract/Other - O,O / O,20,2040,394,397,40290,5150,5194,529953.12,20,102,102.258883,102.903518,7.72200772,8.00650274,8.57076288
P,P,P,National Corporate - P,1,1,81,90,2626,2772,162,13373.75,457007.53,174.031809,165.108025,162,.386100386,1.64600691,4.37025696,P,P,National Corporate- P,P / P,1,162,81,90,13373.75,2626,2772,457007.53,1,162,165.108025,174.031809,.386100386,1.64600691,4.37025696
Q,Q,Q,Group Govt/Military - Q,0,0,139,143,658,719,0,15778,86214,131.024316,113.510791,0,0,2.82462914,1.09506058,Q,Q,Group Govt/Military - Q,Q / Q,0,0,139,143,15778,658,719,86214,0,0,113.510791,131.024316,0,2.82462914,1.09506058
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.018306484,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.018306484
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.171415258,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.171415258
U,U,U,Group SMERF - U,0,0,288,362,5510,8466,0,34215,724766.43,131.536557,118.802083,0,0,5.85246901,9.16988417,U,U,Group SMERF - U,U / U,0,0,288,362,34215,5510,8466,724766.43,0,0,118.802083,131.536557,0,5.85246901,9.16988417
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001664226,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001664226
W,W,W,Wholesale - W,1,1,17,17,734,881,95,2079,84016.29,114.463610,122.294118,95,.386100386,.345458240,1.22154174,W,W,Wholesale - W,W / W,1,95,17,17,2079,734,881,84016.29,1,95,122.294118,114.463610,.386100386,.345458240,1.22154174
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
59,85,2037,2811,34445,46286,112.165763,121.132808,138.650932,,6617.78,246747.53,4775831.36,57.3242578,41.3940256,22.7799228,MONTH,Rooms Month to Date,Room Revenue Month to Date
