GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,861,966,3846,4473,0,160519,672191.2,174.776703,186.433217,0,0,13.2972973,4.96636149,A,A,Group Association- A,A / A,0,0,861,966,160519,3846,4473,672191.2,0,0,186.433217,174.776703,0,13.2972973,4.96636149
C,C,C,Group Corporate - C,29,29,350,361,2853,3025,4583,57261,463670,162.520154,163.602857,158.034483,11.1969112,5.40540541,3.68409499,C,C,Corporate Group - C,C / C,29,4583,350,361,57261,2853,3025,463670,29,158.034483,163.602857,162.520154,11.1969112,5.40540541,3.68409499
D,D,D,Discounts - D,77,108,1058,1835,10703,18794,10302.3,135626.62,1414326.4,132.142988,128.191512,133.796104,29.7297297,16.3397683,13.8208443,D,D,Discounts - D,D / D,77,10302.3,1058,1835,135626.62,10703,18794,1414326.4,108,133.796104,128.191512,132.142988,29.7297297,16.3397683,13.8208443
E,E,E,Consortium - E,10,14,106,112,1004,1028,1761.75,19531.4,175913.85,175.212998,184.258491,176.175,3.86100386,1.63706564,1.29647086,E,E,Consortium - E,E / E,10,1761.75,106,112,19531.4,1004,1028,175913.85,14,176.175,184.258491,175.212998,3.86100386,1.63706564,1.29647086
G,G,G,Rack - G,7,9,213,275,3518,4725,1346,35732.56,654323.85,185.993135,167.758498,192.285714,2.70270270,3.28957529,4.54281324,G,G,Rack - G,G / G,7,1346,213,275,35732.56,3518,4725,654323.85,9,192.285714,167.758498,185.993135,2.70270270,3.28957529,4.54281324
H,H,H,House Use - H,0,0,0,0,1,1,129,1205.05,12670.69,12670.69,0,0,0,0,.001291306,H,H,House Use - H,H / H,0,129,0,0,1205.05,1,1,12670.69,0,0,0,12670.69,0,0,.001291306
K,K,K,Package - K,1,2,41,63,823,1339,260,6925,145929.74,177.314386,168.902439,260,.386100386,.633204633,1.06274454,K,K,Package - K,K / K,1,260,41,63,6925,823,1339,145929.74,2,260,168.902439,177.314386,.386100386,.633204633,1.06274454
L,L,L,Local Corporate - L,2,2,34,34,453,460,290,4947.46,71767.65,158.427483,145.513529,145,.772200772,.525096525,.584961455,L,L,Local Corporate- L,L / L,2,290,34,34,4947.46,453,460,71767.65,2,145,145.513529,158.427483,.772200772,.525096525,.584961455
M,M,M,Government/Military - M,10,13,65,78,1137,1341,1219,8411.5,157449.5,138.478012,129.407692,121.9,3.86100386,1.00386100,1.46821451,M,M,Government/Military - M,M / M,10,1219,65,78,8411.5,1137,1341,157449.5,13,121.9,129.407692,138.478012,3.86100386,1.00386100,1.46821451
N,N,N,Complimentary - N,2,2,30,30,1326,1626,0,-287.26,523.85,.395060332,-9.5753333,0,.772200772,.463320463,1.71227128,N,N,Complimentary - N,N / N,2,0,30,30,-287.26,1326,1626,523.85,2,0,-9.5753333,.395060332,.772200772,.463320463,1.71227128
O,O,O,Contract/Other - O,35,35,532,533,6606,6655,3570,54264,678873.12,102.766140,102,102,13.5135135,8.21621622,8.53036505,O,O,Contract/Other - O,O / O,35,3570,532,533,54264,6606,6655,678873.12,35,102,102,102.766140,13.5135135,8.21621622,8.53036505
