GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,3846,4473,0,-93.94,672097.26,174.752278,0,0,0,0,4.66962920,A,A,Group Association- A,A / A,0,0,0,0,-93.94,3846,4473,672097.26,0,0,0,174.752278,0,0,4.66962920
C,C,C,Group Corporate - C,0,0,152,158,3189,3367,0,27944,519965,163.049545,183.842105,0,0,4.51440451,3.87193123,C,C,Corporate Group - C,C / C,0,0,152,158,27944,3189,3367,519965,0,0,183.842105,163.049545,0,4.51440451,3.87193123
D,D,D,Discounts - D,40,55,832,1427,11924,20862,6382.3,117627.04,1584291.25,132.865754,141.378654,159.5575,15.4440154,24.7104247,14.4775503,D,D,Discounts - D,D / D,40,6382.3,832,1427,117627.04,11924,20862,1584291.25,55,159.5575,141.378654,132.865754,15.4440154,24.7104247,14.4775503
E,E,E,Consortium - E,7,7,62,64,1081,1107,1207,11181,189731.35,175.514662,180.338710,172.428571,2.70270270,1.84140184,1.31249848,E,E,Consortium - E,E / E,7,1207,62,64,11181,1081,1107,189731.35,7,172.428571,180.338710,175.514662,2.70270270,1.84140184,1.31249848
G,G,G,Rack - G,8,8,151,183,3741,5014,1614,26234,692468.55,185.102526,173.735099,201.75,3.08880309,4.48470448,4.54214322,G,G,Rack - G,G / G,8,1614,151,183,26234,3741,5014,692468.55,8,201.75,173.735099,185.102526,3.08880309,4.48470448,4.54214322
H,H,H,House Use - H,0,0,0,0,1,1,88.56,1728.26,14668.45,14668.45,0,0,0,0,.001214152,H,H,House Use - H,H / H,0,88.56,0,0,1728.26,1,1,14668.45,0,0,0,14668.45,0,0,.001214152
K,K,K,Package - K,1,1,31,53,870,1424,205,6332,155426.74,178.651425,204.258065,205,.386100386,.920700921,1.05631238,K,K,Package - K,K / K,1,205,31,53,6332,870,1424,155426.74,1,205,204.258065,178.651425,.386100386,.920700921,1.05631238
L,L,L,Local Corporate - L,2,2,33,33,499,506,290,4709,78395.65,157.105511,142.696970,145,.772200772,.980100980,.605861927,L,L,Local Corporate- L,L / L,2,290,33,33,4709,499,506,78395.65,2,145,142.696970,157.105511,.772200772,.980100980,.605861927
M,M,M,Government/Military - M,8,8,65,76,1229,1453,1080,8873,169983.5,138.310415,136.507692,135,3.08880309,1.93050193,1.49219300,M,M,Government/Military - M,M / M,8,1080,65,76,8873,1229,1453,169983.5,8,135,136.507692,138.310415,3.08880309,1.93050193,1.49219300
N,N,N,Complimentary - N,0,0,11,13,1339,1641,0,-195,328.85,.245593727,-17.727273,0,0,.326700327,1.62574974,N,N,Complimentary - N,N / N,0,0,11,13,-195,1339,1641,328.85,0,0,-17.727273,.245593727,0,.326700327,1.62574974
O,O,O,Contract/Other - O,20,20,259,259,6988,7037,2040,26418,717837.12,102.724259,102,102,7.72200772,7.69230769,8.48449528,O,O,Contract/Other - O,O / O,20,2040,259,259,26418,6988,7037,717837.12,20,102,102,102.724259,7.72200772,7.69230769,8.48449528
