GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,3846,4473,0,0,672191.2,174.776703,0,0,0,0,4.80563782,A,A,Group Association- A,A / A,0,0,0,0,0,3846,4473,672191.2,0,0,0,174.776703,0,0,4.80563782
C,C,C,Group Corporate - C,0,0,152,158,3189,3367,0,27944,519965,163.049545,183.842105,0,0,14.6718147,3.98470593,C,C,Corporate Group - C,C / C,0,0,152,158,27944,3189,3367,519965,0,0,183.842105,163.049545,0,14.6718147,3.98470593
D,D,D,Discounts - D,97,184,286,494,11378,19929,13653.15,44192.39,1510856.6,132.787537,154.518846,140.754124,37.4517375,27.6061776,14.2169909,D,D,Discounts - D,D / D,97,13653.15,286,494,44192.39,11378,19929,1510856.6,184,140.754124,154.518846,132.787537,37.4517375,27.6061776,14.2169909
E,E,E,Consortium - E,0,0,4,4,1023,1047,0,735.25,179285.6,175.254741,183.8125,0,0,.386100386,1.27825468,E,E,Consortium - E,E / E,0,0,4,4,735.25,1023,1047,179285.6,0,0,183.8125,175.254741,0,.386100386,1.27825468
G,G,G,Rack - G,17,20,58,69,3648,4900,2730,11098.95,677333.5,185.672560,191.361207,160.588235,6.56370656,5.59845560,4.55823368,G,G,Rack - G,G / G,17,2730,58,69,11098.95,3648,4900,677333.5,20,160.588235,191.361207,185.672560,6.56370656,5.59845560,4.55823368
H,H,H,House Use - H,0,0,0,0,1,1,-24,591.05,13531.24,13531.24,0,0,0,0,.001249516,H,H,House Use - H,H / H,0,-24,0,0,591.05,1,1,13531.24,0,0,0,13531.24,0,0,.001249516
K,K,K,Package - K,3,6,11,20,850,1391,615,2337,151431.74,178.154988,212.454545,205,1.15830116,1.06177606,1.06208844,K,K,Package - K,K / K,3,615,11,20,2337,850,1391,151431.74,6,205,212.454545,178.154988,1.15830116,1.06177606,1.06208844
L,L,L,Local Corporate - L,2,2,12,12,478,485,290,1714,75400.65,157.741946,142.833333,145,.772200772,1.15830116,.597268558,L,L,Local Corporate- L,L / L,2,290,12,12,1714,478,485,75400.65,2,145,142.833333,157.741946,.772200772,1.15830116,.597268558
M,M,M,Government/Military - M,7,10,18,25,1182,1402,971,2436,163546.5,138.364213,135.333333,138.714286,2.70270270,1.73745174,1.47692769,M,M,Government/Military - M,M / M,7,971,18,25,2436,1182,1402,163546.5,10,138.714286,135.333333,138.364213,2.70270270,1.73745174,1.47692769
N,N,N,Complimentary - N,1,1,2,2,1330,1630,0,0,523.85,.393872180,0,0,.386100386,.193050193,1.66185603,N,N,Complimentary - N,N / N,1,0,2,2,0,1330,1630,523.85,1,0,0,.393872180,.386100386,.193050193,1.66185603
O,O,O,Contract/Other - O,20,20,80,80,6809,6858,2040,8160,699579.12,102.743299,102,102,7.72200772,7.72200772,8.50795317,O,O,Contract/Other - O,O / O,20,2040,80,80,8160,6809,6858,699579.12,20,102,102,102.743299,7.72200772,7.72200772,8.50795317
