GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,316,343,2985,3507,0,50085,511354.2,171.307940,158.496835,0,0,4.88030888,4.28442250,A,A,Group Association- A,A / A,0,0,316,343,50085,2985,3507,511354.2,0,0,158.496835,171.307940,0,4.88030888,4.28442250
C,C,C,Group Corporate - C,3,3,81,81,2488,2649,606,12218,403783,162.292203,150.839506,202,1.15830116,1.25096525,3.57106974,C,C,Corporate Group - C,C / C,3,606,81,81,12218,2488,2649,403783,3,202,150.839506,162.292203,1.15830116,1.25096525,3.57106974
D,D,D,Discounts - D,23,46,1411,2563,9470,16680,2672.45,177927.81,1253102.38,132.323377,126.100503,116.193478,8.88030888,21.7915058,13.5924560,D,D,Discounts - D,D / D,23,2672.45,1411,2563,177927.81,9470,16680,1253102.38,46,116.193478,126.100503,132.323377,8.88030888,21.7915058,13.5924560
E,E,E,Consortium - E,0,0,122,124,882,900,0,18915.25,153064.2,173.542177,155.043033,0,0,1.88416988,1.26594996,E,E,Consortium - E,E / E,0,0,122,124,18915.25,882,900,153064.2,0,0,155.043033,173.542177,0,1.88416988,1.26594996
G,G,G,Rack - G,2,3,342,424,3258,4386,270,58277.29,608856.29,186.880384,170.401433,135,.772200772,5.28185328,4.67626416,G,G,Rack - G,G / G,2,270,342,424,58277.29,3258,4386,608856.29,3,135,170.401433,186.880384,.772200772,5.28185328,4.67626416
H,H,H,House Use - H,0,0,0,0,1,1,222.75,2308.87,9828.64,9828.64,0,0,0,0,.001435317,H,H,House Use - H,H / H,0,222.75,0,0,2308.87,1,1,9828.64,0,0,0,9828.64,0,0,.001435317
K,K,K,Package - K,1,1,53,97,781,1274,145,8460,138869.74,177.810166,159.622642,145,.386100386,.818532819,1.12098291,K,K,Package - K,K / K,1,145,53,97,8460,781,1274,138869.74,1,145,159.622642,177.810166,.386100386,.818532819,1.12098291
L,L,L,Local Corporate - L,0,0,8,9,415,422,0,1258.64,66157.19,159.414916,157.33,0,0,.123552124,.595656729,L,L,Local Corporate- L,L / L,0,0,8,9,1258.64,415,422,66157.19,0,0,157.33,159.414916,0,.123552124,.595656729
M,M,M,Government/Military - M,1,2,100,123,1048,1233,141,13264,145985,139.298664,132.64,141,.386100386,1.54440154,1.50421266,M,M,Government/Military - M,M / M,1,141,100,123,13264,1048,1233,145985,2,141,132.64,139.298664,.386100386,1.54440154,1.50421266
N,N,N,Complimentary - N,0,0,28,29,1290,1590,0,0,811.11,.628767442,0,0,0,.432432432,1.85155947,N,N,Complimentary - N,N / N,0,0,28,29,0,1290,1590,811.11,0,0,0,.628767442,0,.432432432,1.85155947
O,O,O,Contract/Other - O,20,20,586,588,5976,6023,2040,60180,614613.12,102.846908,102.696246,102,7.72200772,9.05019305,8.57745690,O,O,Contract/Other - O,O / O,20,2040,586,588,60180,5976,6023,614613.12,20,102,102.696246,102.846908,7.72200772,9.05019305,8.57745690
P,P,P,National Corporate - P,5,5,189,189,2921,3067,776,30345,504762.28,172.804615,160.555556,155.2,1.93050193,2.91891892,4.19256219,P,P,National Corporate- P,P / P,5,776,189,189,30345,2921,3067,504762.28,5,155.2,160.555556,172.804615,1.93050193,2.91891892,4.19256219
Q,Q,Q,Group Govt/Military - Q,0,0,143,143,975,1041,0,18733,125641,128.862564,131,0,0,2.20849421,1.39943448,Q,Q,Group Govt/Military - Q,Q / Q,0,0,143,143,18733,975,1041,125641,0,0,131,128.862564,0,2.20849421,1.39943448
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.015788492,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.015788492
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.147837694,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.147837694
U,U,U,Group SMERF - U,107,108,385,804,5937,9336,17788,51074,780814.43,131.516663,132.659740,166.242991,41.3127413,5.94594595,8.52147953,U,U,Group SMERF - U,U / U,107,17788,385,804,51074,5937,9336,780814.43,108,166.242991,132.659740,131.516663,41.3127413,5.94594595,8.52147953
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001435317,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001435317
W,W,W,Wholesale - W,1,1,54,54,791,941,95,6136,90544.79,114.468761,113.629630,95,.386100386,.833976834,1.13533608,W,W,Wholesale - W,W / W,1,95,54,54,6136,791,941,90544.79,1,95,113.629630,114.468761,.386100386,.833976834,1.13533608
