GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,2646,3141,0,-2601,460552.2,174.056009,0,0,0,0,4.98352011,A,A,Group Association- A,A / A,0,0,0,0,-2601,2646,3141,460552.2,0,0,0,174.056009,0,0,4.98352011
C,C,C,Group Corporate - C,0,0,0,0,2243,2404,0,0,369777,164.858226,0,0,0,0,4.22450325,C,C,Corporate Group - C,C / C,0,0,0,0,0,2243,2404,369777,0,0,0,164.858226,0,0,4.22450325
D,D,D,Discounts - D,126,308,1024,1853,6570,11292,12638,120302.13,890975.42,135.612697,117.482549,100.301587,48.6486486,17.1898607,12.3740465,D,D,Discounts - D,D / D,126,12638,1024,1853,120302.13,6570,11292,890975.42,308,100.301587,117.482549,135.612697,48.6486486,17.1898607,12.3740465
E,E,E,Consortium - E,0,0,52,52,570,586,0,7154,106380.65,186.632719,137.576923,0,0,.872922612,1.07354742,E,E,Consortium - E,E / E,0,0,52,52,7154,570,586,106380.65,0,0,137.576923,186.632719,0,.872922612,1.07354742
G,G,G,Rack - G,14,25,169,284,2687,3583,1642,22609.05,516209.25,192.113603,133.781361,117.285714,5.40540541,2.83699849,5.06074018,G,G,Rack - G,G / G,14,1642,169,284,22609.05,2687,3583,516209.25,25,117.285714,133.781361,192.113603,5.40540541,2.83699849,5.06074018
H,H,H,House Use - H,0,0,1,1,1,1,0,-2376.63,7238.81,7238.81,-2376.63,0,0,.016786973,.001883417,H,H,House Use - H,H / H,0,0,1,1,-2376.63,1,1,7238.81,0,0,-2376.63,7238.81,0,.016786973,.001883417
K,K,K,Package - K,3,6,26,55,679,1100,410,3931,123199.74,181.442916,151.192308,136.666667,1.15830116,.436461306,1.27883982,K,K,Package - K,K / K,3,410,26,55,3931,679,1100,123199.74,6,136.666667,151.192308,181.442916,1.15830116,.436461306,1.27883982
L,L,L,Local Corporate - L,0,0,8,8,374,380,0,1422.79,59497.59,159.084465,177.84875,0,0,.134295786,.704397778,L,L,Local Corporate- L,L / L,0,0,8,8,1422.79,374,380,59497.59,0,0,177.84875,159.084465,0,.134295786,.704397778
M,M,M,Government/Military - M,1,1,50,55,856,1013,131,6640,120607,140.896028,132.8,131,.386100386,.839348665,1.61220454,M,M,Government/Military - M,M / M,1,131,50,55,6640,856,1013,120607,1,131,132.8,140.896028,.386100386,.839348665,1.61220454
N,N,N,Complimentary - N,4,4,105,105,1195,1493,0,224,811.11,.678753138,2.13333333,0,1.54440154,1.76263220,2.25068274,N,N,Complimentary - N,N / N,4,0,105,105,224,1195,1493,811.11,4,0,2.13333333,.678753138,1.54440154,1.76263220,2.25068274
O,O,O,Contract/Other - O,20,20,465,465,4592,4622,2040,47583,472731.12,102.946672,102.329032,102,7.72200772,7.80594259,8.64864865,O,O,Contract/Other - O,O / O,20,2040,465,465,47583,4592,4622,472731.12,20,102,102.329032,102.946672,7.72200772,7.80594259,8.64864865
P,P,P,National Corporate - P,4,4,101,111,2497,2631,661,16664,435808.03,174.532651,164.990099,165.25,1.54440154,1.69548430,4.70289104,P,P,National Corporate- P,P / P,4,661,101,111,16664,2497,2631,435808.03,4,165.25,164.990099,174.532651,1.54440154,1.69548430,4.70289104
Q,Q,Q,Group Govt/Military - Q,0,0,8,8,519,576,0,1048,70436,135.714836,131,0,0,.134295786,.977493173,Q,Q,Group Govt/Military - Q,Q / Q,0,0,8,8,1048,519,576,70436,0,0,131,135.714836,0,.134295786,.977493173
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.020717582,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.020717582
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.193991901,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.193991901
U,U,U,Group SMERF - U,55,78,1138,1279,4817,7556,4196,124195,645505.43,134.005694,109.134446,76.2909091,21.2355212,19.1035756,9.07241737,U,U,Group SMERF - U,U / U,55,4196,1138,1279,124195,4817,7556,645505.43,78,76.2909091,109.134446,134.005694,21.2355212,19.1035756,9.07241737
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001883417,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001883417
W,W,W,Wholesale - W,2,2,22,22,706,847,190,2342,80798.29,114.445170,106.454545,95,.772200772,.369313413,1.32969206,W,W,Wholesale - W,W / W,2,190,22,22,2342,706,847,80798.29,2,95,106.454545,114.445170,.772200772,.369313413,1.32969206
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
229,448,3169,4298,31067,41374,95.6681223,110.172717,140.846803,,21908,349137.34,4375687.64,58.5121010,53.1979184,88.4169884,MONTH,Rooms Month to Date,Room Revenue Month to Date
