GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,5,5,892,1205,2638,3133,645,134665.5,462478.2,175.313950,150.970291,129,1.93050193,24.6001103,6.13573987,A,A,Group Association- A,A / A,5,645,892,1205,134665.5,2638,3133,462478.2,5,129,150.970291,175.313950,1.93050193,24.6001103,6.13573987
C,C,C,Group Corporate - C,0,0,23,23,2040,2183,0,3109,342981,168.127941,135.173913,0,0,.634307777,4.74484812,C,C,Corporate Group - C,C / C,0,0,23,23,3109,2040,2183,342981,0,0,135.173913,168.127941,0,.634307777,4.74484812
D,D,D,Discounts - D,29,43,342,563,4961,8404,4561.3,51250.22,693124.11,139.714596,149.854444,157.286207,11.1969112,9.43188086,11.5388194,D,D,Discounts - D,D / D,29,4561.3,342,563,51250.22,4961,8404,693124.11,43,157.286207,149.854444,139.714596,11.1969112,9.43188086,11.5388194
E,E,E,Consortium - E,2,2,38,38,492,499,321.3,7116.75,94802.3,192.687602,187.282895,160.65,.772200772,1.04798676,1.14434572,E,E,Consortium - E,E / E,2,321.3,38,38,7116.75,492,499,94802.3,2,160.65,187.282895,192.687602,.772200772,1.04798676,1.14434572
G,G,G,Rack - G,9,9,105,132,2463,3231,1823.75,21160.49,485001.2,196.914819,201.528476,202.638889,3.47490347,2.89575290,5.72870633,G,G,Rack - G,G / G,9,1823.75,105,132,21160.49,2463,3231,485001.2,9,202.638889,201.528476,196.914819,3.47490347,2.89575290,5.72870633
H,H,H,House Use - H,0,0,0,0,0,0,0,-98.45,8832.07,0,0,0,0,0,0,H,H,House Use - H,H / H,0,0,0,0,-98.45,0,0,8832.07,0,0,0,0,0,0,0
K,K,K,Package - K,1,1,6,11,636,1022,219,1139,116313.74,182.883239,189.833333,219,.386100386,.165471594,1.47927618,K,K,Package - K,K / K,1,219,6,11,1139,636,1022,116313.74,1,219,189.833333,182.883239,.386100386,.165471594,1.47927618
L,L,L,Local Corporate - L,3,3,6,6,356,362,449,898,56503.74,158.718371,149.666667,149.666667,1.15830116,.165471594,.828022515,L,L,Local Corporate- L,L / L,3,449,6,6,898,356,362,56503.74,3,149.666667,149.666667,158.718371,1.15830116,.165471594,.828022515
M,M,M,Government/Military - M,4,4,28,29,772,912,524,3728,109463,141.791451,133.142857,131,1.54440154,.772200772,1.79559939,M,M,Government/Military - M,M / M,4,524,28,29,3728,772,912,109463,4,131,133.142857,141.791451,1.54440154,.772200772,1.79559939
N,N,N,Complimentary - N,1,1,48,51,1015,1313,0,.01,587.11,.578433498,.000208333,0,.386100386,1.32377275,2.36079453,N,N,Complimentary - N,N / N,1,0,48,51,.01,1015,1313,587.11,1,0,.000208333,.578433498,.386100386,1.32377275,2.36079453
