GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,23,23,2669,3164,0,2507,461269.2,172.824728,109,0,0,.592020592,4.51974531,A,A,Group Association- A,A / A,0,0,23,23,2507,2669,3164,461269.2,0,0,109,172.824728,0,.592020592,4.51974531
C,C,C,Group Corporate - C,0,0,111,111,2354,2515,0,13748,383525,162.924809,123.855856,0,0,2.85714286,3.98631714,C,C,Corporate Group - C,C / C,0,0,111,111,13748,2354,2515,383525,0,0,123.855856,162.924809,0,2.85714286,3.98631714
D,D,D,Discounts - D,22,31,492,957,7668,13446,3084.7,60898.77,1023140.8,133.429943,123.777988,140.213636,8.49420849,12.6640927,12.9851656,D,D,Discounts - D,D / D,22,3084.7,492,957,60898.77,7668,13446,1023140.8,31,140.213636,123.777988,133.429943,8.49420849,12.6640927,12.9851656
E,E,E,Consortium - E,8,8,70,70,680,696,1198.5,10174.75,121756.65,179.053897,145.353571,149.8125,3.08880309,1.80180180,1.15152747,E,E,Consortium - E,E / E,8,1198.5,70,70,10174.75,680,696,121756.65,8,149.8125,145.353571,179.053897,3.08880309,1.80180180,1.15152747
G,G,G,Rack - G,4,10,123,239,2829,3844,628.5,17079,536038.75,189.479940,138.853659,157.125,1.54440154,3.16602317,4.79069295,G,G,Rack - G,G / G,4,628.5,123,239,17079,2829,3844,536038.75,10,157.125,138.853659,189.479940,1.54440154,3.16602317,4.79069295
H,H,H,House Use - H,0,0,0,0,1,1,0,-392.87,6839.02,6839.02,0,0,0,0,.001693423,H,H,House Use - H,H / H,0,0,0,0,-392.87,1,1,6839.02,0,0,0,6839.02,0,0,.001693423
K,K,K,Package - K,1,1,14,30,712,1152,190,2060,128054.74,179.852163,147.142857,190,.386100386,.360360360,1.20571700,K,K,Package - K,K / K,1,190,14,30,2060,712,1152,128054.74,1,190,147.142857,179.852163,.386100386,.360360360,1.20571700
L,L,L,Local Corporate - L,0,0,7,7,385,391,0,1001.5,61039.09,158.543091,143.071429,0,0,.180180180,.651967757,L,L,Local Corporate- L,L / L,0,0,7,7,1001.5,385,391,61039.09,0,0,143.071429,158.543091,0,.180180180,.651967757
M,M,M,Government/Military - M,4,4,38,41,907,1067,534,5147,127451,140.519294,135.447368,133.5,1.54440154,.978120978,1.53593443,M,M,Government/Military - M,M / M,4,534,38,41,5147,907,1067,127451,4,133.5,135.447368,140.519294,1.54440154,.978120978,1.53593443
N,N,N,Complimentary - N,1,1,33,34,1240,1539,0,0,811.11,.654120968,0,0,.386100386,.849420849,2.09984421,N,N,Complimentary - N,N / N,1,0,33,34,0,1240,1539,811.11,1,0,0,.654120968,.386100386,.849420849,2.09984421
