GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,2646,3141,0,0,458762.2,173.379516,0,0,0,0,4.64373464,A,A,Group Association- A,A / A,0,0,0,0,0,2646,3141,458762.2,0,0,0,173.379516,0,0,4.64373464
C,C,C,Group Corporate - C,4,4,48,48,2291,2452,476,5712,375489,163.897425,119,119,1.54440154,2.64754550,4.02070902,C,C,Corporate Group - C,C / C,4,476,48,48,5712,2291,2452,375489,4,119,119,163.897425,1.54440154,2.64754550,4.02070902
D,D,D,Discounts - D,10,18,288,617,7464,13106,1405.4,34376.52,996618.55,133.523386,119.362917,140.54,3.86100386,15.8852730,13.0993331,D,D,Discounts - D,D / D,10,1405.4,288,617,34376.52,7464,13106,996618.55,18,140.54,119.362917,133.523386,3.86100386,15.8852730,13.0993331
E,E,E,Consortium - E,4,4,22,22,632,648,607.75,3166.5,114748.4,181.563924,143.931818,151.9375,1.54440154,1.21345836,1.10916111,E,E,Consortium - E,E / E,4,607.75,22,22,3166.5,632,648,114748.4,4,151.9375,143.931818,181.563924,1.54440154,1.21345836,1.10916111
G,G,G,Rack - G,8,17,63,119,2769,3724,1352.75,8496.5,527456.25,190.486186,134.865079,169.09375,3.08880309,3.47490347,4.85959986,G,G,Rack - G,G / G,8,1352.75,63,119,8496.5,2769,3724,527456.25,17,169.09375,134.865079,190.486186,3.08880309,3.47490347,4.85959986
H,H,H,House Use - H,0,0,0,0,1,1,0,35.13,7267.02,7267.02,0,0,0,0,.001755002,H,H,House Use - H,H / H,0,0,0,0,35.13,1,1,7267.02,0,0,0,7267.02,0,0,.001755002
K,K,K,Package - K,0,0,12,27,710,1149,0,1725,127719.74,179.886958,143.75,0,0,.661886376,1.24605125,K,K,Package - K,K / K,0,0,12,27,1725,710,1149,127719.74,0,0,143.75,179.886958,0,.661886376,1.24605125
L,L,L,Local Corporate - L,0,0,3,3,381,387,0,398.6,60436.19,158.625171,132.866667,0,0,.165471594,.668655669,L,L,Local Corporate- L,L / L,0,0,3,3,398.6,381,387,60436.19,0,0,132.866667,158.625171,0,.165471594,.668655669
M,M,M,Government/Military - M,1,1,6,6,875,1032,141,796,123100,140.685714,132.666667,141,.386100386,.330943188,1.53562654,M,M,Government/Military - M,M / M,1,141,6,6,796,875,1032,123100,1,141,132.666667,140.685714,.386100386,.330943188,1.53562654
N,N,N,Complimentary - N,2,2,18,18,1225,1523,0,0,811.11,.662130612,0,0,.772200772,.992829564,2.14987715,N,N,Complimentary - N,N / N,2,0,18,18,0,1225,1523,811.11,2,0,0,.662130612,.772200772,.992829564,2.14987715
O,O,O,Contract/Other - O,20,20,145,148,4901,4945,2040,14892,504555.12,102.949423,102.703448,102,7.72200772,7.99779371,8.60126360,O,O,Contract/Other - O,O / O,20,2040,145,148,14892,4901,4945,504555.12,20,102,102.703448,102.949423,7.72200772,7.99779371,8.60126360
P,P,P,National Corporate - P,2,2,22,25,2567,2707,337,3631.25,447265.03,174.236474,165.056818,168.5,.772200772,1.21345836,4.50508951,P,P,National Corporate- P,P / P,2,337,22,25,3631.25,2567,2707,447265.03,2,168.5,165.056818,174.236474,.772200772,1.21345836,4.50508951
Q,Q,Q,Group Govt/Military - Q,0,0,0,0,519,576,0,0,70436,135.714836,0,0,0,0,.910845911,Q,Q,Group Govt/Military - Q,Q / Q,0,0,0,0,0,519,576,70436,0,0,0,135.714836,0,0,.910845911
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.019305019,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.019305019
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.180765181,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.180765181
U,U,U,Group SMERF - U,5,5,108,108,5330,8212,695,13272,703823.43,132.049424,122.888889,139,1.93050193,5.95697739,9.35415935,U,U,Group SMERF - U,U / U,5,695,108,108,13272,5330,8212,703823.43,5,139,122.888889,132.049424,1.93050193,5.95697739,9.35415935
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001755002,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001755002
W,W,W,Wholesale - W,1,1,9,9,726,873,105,969,82906.29,114.195992,107.666667,105,.386100386,.496414782,1.27413127,W,W,Wholesale - W,W / W,1,105,9,9,969,726,873,82906.29,1,105,107.666667,114.195992,.386100386,.496414782,1.27413127
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
57,74,744,1150,33152,44625,125.612281,117.567876,139.254173,,7159.9,87470.5,4616554.33,58.1818182,41.0369553,22.0077220,MONTH,Rooms Month to Date,Room Revenue Month to Date
