GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,29,29,3875,4502,0,4376.06,676567.26,174.598003,150.898621,0,0,.699806950,4.66086915,A,A,Group Association- A,A / A,0,0,29,29,4376.06,3875,4502,676567.26,0,0,150.898621,174.598003,0,.699806950,4.66086915
C,C,C,Group Corporate - C,28,28,192,198,3229,3407,4172,33904,525925,162.875503,176.583333,149,10.8108108,4.63320463,3.88385715,C,C,Corporate Group - C,C / C,28,4172,192,198,33904,3229,3407,525925,28,149,176.583333,162.875503,10.8108108,4.63320463,3.88385715
D,D,D,Discounts - D,39,49,949,1576,12041,21011,5716.87,135847.66,1602511.87,133.087939,143.148219,146.586410,15.0579151,22.9005792,14.4829743,D,D,Discounts - D,D / D,39,5716.87,949,1576,135847.66,12041,21011,1602511.87,49,146.586410,143.148219,133.087939,15.0579151,22.9005792,14.4829743
E,E,E,Consortium - E,10,10,91,93,1110,1136,1874.25,16621,195171.35,175.830045,182.648352,187.425,3.86100386,2.19594595,1.33511348,E,E,Consortium - E,E / E,10,1874.25,91,93,16621,1110,1136,195171.35,10,187.425,182.648352,175.830045,3.86100386,2.19594595,1.33511348
G,G,G,Rack - G,11,13,184,218,3774,5049,2265,32849.75,699084.3,185.236963,178.53125,205.909091,4.24710425,4.44015444,4.53938585,G,G,Rack - G,G / G,11,2265,184,218,32849.75,3774,5049,699084.3,13,205.909091,178.53125,185.236963,4.24710425,4.44015444,4.53938585
H,H,H,House Use - H,0,0,0,0,1,1,0,1422.26,14362.45,14362.45,0,0,0,0,.001202805,H,H,House Use - H,H / H,0,0,0,0,1422.26,1,1,14362.45,0,0,0,14362.45,0,0,.001202805
K,K,K,Package - K,2,2,37,59,876,1430,465,7732,156826.74,179.025959,208.972973,232.5,.772200772,.892857143,1.05365713,K,K,Package - K,K / K,2,465,37,59,7732,876,1430,156826.74,2,232.5,208.972973,179.025959,.772200772,.892857143,1.05365713
L,L,L,Local Corporate - L,3,3,41,41,507,514,479,5957,79643.65,157.088067,145.292683,159.666667,1.15830116,.989382239,.609822105,L,L,Local Corporate- L,L / L,3,479,41,41,5957,507,514,79643.65,3,159.666667,145.292683,157.088067,1.15830116,.989382239,.609822105
M,M,M,Government/Military - M,12,12,103,115,1267,1492,1620,14003,175113.5,138.211129,135.951456,135,4.63320463,2.48552124,1.52395386,M,M,Government/Military - M,M / M,12,1620,103,115,14003,1267,1492,175113.5,12,135,135.951456,138.211129,4.63320463,2.48552124,1.52395386
N,N,N,Complimentary - N,1,1,13,15,1341,1643,0,-195,328.85,.245227442,-15,0,.386100386,.313706564,1.61296143,N,N,Complimentary - N,N / N,1,0,13,15,-195,1341,1643,328.85,1,0,-15,.245227442,.386100386,.313706564,1.61296143
O,O,O,Contract/Other - O,23,25,333,339,7062,7117,2346,33966,725385.12,102.716669,102,102,8.88030888,8.03571429,8.49420849,O,O,Contract/Other - O,O / O,23,2346,333,339,33966,7062,7117,725385.12,25,102,102,102.716669,8.88030888,8.03571429,8.49420849
P,P,P,National Corporate - P,19,21,219,223,3410,3560,3130,35734.39,584080.59,171.284630,163.170731,164.736842,7.33590734,5.28474903,4.10156485,P,P,National Corporate- P,P / P,19,3130,219,223,35734.39,3410,3560,584080.59,21,164.736842,163.170731,171.284630,7.33590734,5.28474903,4.10156485
Q,Q,Q,Group Govt/Military - Q,109,109,394,394,1383,1449,14715,53204,180679,130.642805,135.035533,135,42.0849421,9.50772201,1.66347923,Q,Q,Group Govt/Military - Q,Q / Q,109,14715,394,394,53204,1383,1449,180679,109,135,135.035533,130.642805,42.0849421,9.50772201,1.66347923
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.013230854,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.013230854
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.123888909,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.123888909
U,U,U,Group SMERF - U,0,0,310,535,7311,11169,0,53070,969660.33,132.630328,171.193548,0,0,7.48069498,8.79370692,U,U,Group SMERF - U,U / U,0,0,310,535,53070,7311,11169,969660.33,0,0,171.193548,132.630328,0,7.48069498,8.79370692
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001202805,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001202805
W,W,W,Wholesale - W,2,2,46,48,968,1123,275,5639.29,113686.08,117.444298,122.593261,137.5,.772200772,1.11003861,1.16431518,W,W,Wholesale - W,W / W,2,275,46,48,5639.29,968,1123,113686.08,2,137.5,122.593261,117.444298,.772200772,1.11003861,1.16431518
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
259,275,2941,3883,48270,64752,143.081544,147.613536,139.096459,,37058.12,434131.41,6714186.09,58.0593945,70.9700772,100,MONTH,Rooms Month to Date,Room Revenue Month to Date
