GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,2669,3164,0,0,461269.2,172.824728,0,0,0,0,3.96346896,A,A,Group Association- A,A / A,0,0,0,0,0,2669,3164,461269.2,0,0,0,172.824728,0,0,3.96346896
C,C,C,Group Corporate - C,0,0,68,68,2475,2636,0,10222,401787,162.338182,150.323529,0,0,1.64092664,3.67537868,C,C,Corporate Group - C,C / C,0,0,68,68,10222,2475,2636,401787,0,0,150.323529,162.338182,0,1.64092664,3.67537868
D,D,D,Discounts - D,55,103,991,1841,9050,15958,5961.16,121586.26,1196760.83,132.238766,122.690474,108.384727,21.2355212,23.9140927,13.4392634,D,D,Discounts - D,D / D,55,5961.16,991,1841,121586.26,9050,15958,1196760.83,103,108.384727,122.690474,132.238766,21.2355212,23.9140927,13.4392634
E,E,E,Consortium - E,0,0,96,98,856,874,0,14579,148727.95,173.747605,151.864583,0,0,2.31660232,1.27116127,E,E,Consortium - E,E / E,0,0,96,98,14579,856,874,148727.95,0,0,151.864583,173.747605,0,2.31660232,1.27116127
G,G,G,Rack - G,7,8,213,258,3129,4220,848.75,33876.29,584455.29,186.786606,159.043615,121.25,2.70270270,5.13996139,4.64656965,G,G,Rack - G,G / G,7,848.75,213,258,33876.29,3129,4220,584455.29,8,121.25,159.043615,186.786606,2.70270270,5.13996139,4.64656965
H,H,H,House Use - H,0,0,0,0,1,1,257.5,1227.87,8747.64,8747.64,0,0,0,0,.001485001,H,H,House Use - H,H / H,0,257.5,0,0,1227.87,1,1,8747.64,0,0,0,8747.64,0,0,.001485001
K,K,K,Package - K,1,1,37,68,765,1245,140,5545,135954.74,177.718614,149.864865,140,.386100386,.892857143,1.13602614,K,K,Package - K,K / K,1,140,37,68,5545,765,1245,135954.74,1,140,149.864865,177.718614,.386100386,.892857143,1.13602614
L,L,L,Local Corporate - L,0,0,3,3,410,416,0,464.18,65362.73,159.421293,154.726667,0,0,.072393822,.608850609,L,L,Local Corporate- L,L / L,0,0,3,3,464.18,410,416,65362.73,0,0,154.726667,159.421293,0,.072393822,.608850609
M,M,M,Government/Military - M,2,3,34,44,982,1154,131,4323,137044,139.556008,127.147059,65.5,.772200772,.820463320,1.45827146,M,M,Government/Military - M,M / M,2,131,34,44,4323,982,1154,137044,3,65.5,127.147059,139.556008,.772200772,.820463320,1.45827146
N,N,N,Complimentary - N,2,2,15,15,1277,1576,0,0,811.11,.635168363,0,0,.772200772,.361969112,1.89634690,N,N,Complimentary - N,N / N,2,0,15,15,0,1277,1576,811.11,2,0,0,.635168363,.772200772,.361969112,1.89634690
O,O,O,Contract/Other - O,35,35,399,400,5789,5835,3570,41106,595539.12,102.874265,103.022556,102,13.5135135,9.62837838,8.59667360,O,O,Contract/Other - O,O / O,35,3570,399,400,41106,5789,5835,595539.12,35,102,103.022556,102.874265,13.5135135,9.62837838,8.59667360
P,P,P,National Corporate - P,6,6,124,124,2856,3002,911,19923,494340.28,173.088333,160.669355,151.833333,2.31660232,2.99227799,4.24116424,P,P,National Corporate- P,P / P,6,911,124,124,19923,2856,3002,494340.28,6,151.833333,160.669355,173.088333,2.31660232,2.99227799,4.24116424
Q,Q,Q,Group Govt/Military - Q,2,2,65,65,897,963,262,8515,115423,128.676700,131,131,.772200772,1.56853282,1.33204633,Q,Q,Group Govt/Military - Q,Q / Q,2,262,65,65,8515,897,963,115423,2,131,131,128.676700,.772200772,1.56853282,1.33204633
