GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,3874,4501,0,-419,676148.26,174.534915,0,0,0,0,4.31052708,A,A,Group Association- A,A / A,0,0,0,0,-419,3874,4501,676148.26,0,0,0,174.534915,0,0,4.31052708
C,C,C,Group Corporate - C,13,13,36,36,3346,3524,2067,5064,542460,162.121937,140.666667,159,5.01930502,1.15830116,3.72303139,C,C,Corporate Group - C,C / C,13,2067,36,36,5064,3346,3524,542460,13,159,140.666667,162.121937,5.01930502,1.15830116,3.72303139
D,D,D,Discounts - D,28,46,538,933,13207,23241,3886.99,68937.9803,1740369.22,131.776272,128.137510,138.821071,10.8108108,17.3101673,14.6951810,D,D,Discounts - D,D / D,28,3886.99,538,933,68937.980256410256,13207,23241,1740369.220256410256,46,138.821071,128.137510,131.776272,10.8108108,17.3101673,14.6951810
E,E,E,Consortium - E,7,7,48,48,1177,1203,1066.75,7964.5,206208.6,175.198471,165.927083,152.392857,2.70270270,1.54440154,1.30962581,E,E,Consortium - E,E / E,7,1066.75,48,48,7964.5,1177,1203,206208.6,7,152.392857,165.927083,175.198471,2.70270270,1.54440154,1.30962581
G,G,G,Rack - G,4,5,97,112,3939,5249,700,15752.24,725221.63,184.113133,162.394227,175,1.54440154,3.12097812,4.38285136,G,G,Rack - G,G / G,4,700,97,112,15752.24,3939,5249,725221.63,5,175,162.394227,184.113133,1.54440154,3.12097812,4.38285136
H,H,H,House Use - H,0,0,0,0,1,1,140,1149.1,13872.43,13872.43,0,0,0,0,.001112681,H,H,House Use - H,H / H,0,140,0,0,1149.1,1,1,13872.43,0,0,0,13872.43,0,0,.001112681
K,K,K,Package - K,2,3,29,52,923,1517,370,5340,165226.74,179.010553,184.137931,185,.772200772,.933075933,1.02700477,K,K,Package - K,K / K,2,370,29,52,5340,923,1517,165226.74,3,185,184.137931,179.010553,.772200772,.933075933,1.02700477
L,L,L,Local Corporate - L,1,1,23,23,553,560,154,3534,87477.65,158.187432,153.652174,154,.386100386,.740025740,.615312719,L,L,Local Corporate- L,L / L,1,154,23,23,3534,553,560,87477.65,1,154,153.652174,158.187432,.386100386,.740025740,.615312719
M,M,M,Government/Military - M,6,7,133,154,1432,1678,820,17892,197605.5,137.992668,134.526316,136.666667,2.31660232,4.27927928,1.59335952,M,M,Government/Military - M,M / M,6,820,133,154,17892,1432,1678,197605.5,7,136.666667,134.526316,137.992668,2.31660232,4.27927928,1.59335952
N,N,N,Complimentary - N,0,0,8,8,1356,1657,0,0,328.85,.242514749,0,0,0,.257400257,1.50879575,N,N,Complimentary - N,N / N,0,0,8,8,0,1356,1657,328.85,0,0,0,.242514749,0,.257400257,1.50879575
O,O,O,Contract/Other - O,24,26,174,176,7369,7427,2448,17748,756801.12,102.700654,102,102,9.26640927,5.59845560,8.19934797,O,O,Contract/Other - O,O / O,24,2448,174,176,17748,7369,7427,756801.12,26,102,102,102.700654,9.26640927,5.59845560,8.19934797
P,P,P,National Corporate - P,14,14,148,148,3642,3794,2259,23922.75,621552.34,170.662367,161.640203,161.357143,5.40540541,4.76190476,4.05238503,P,P,National Corporate- P,P / P,14,2259,148,148,23922.75,3642,3794,621552.34,14,161.357143,161.640203,170.662367,5.40540541,4.76190476,4.05238503
Q,Q,Q,Group Govt/Military - Q,0,0,368,368,1867,1933,0,49815,244584,131.003749,135.366848,0,0,11.8404118,2.07737585,Q,Q,Group Govt/Military - Q,Q / Q,0,0,368,368,49815,1867,1933,244584,0,0,135.366848,131.003749,0,11.8404118,2.07737585
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.012239494,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.012239494
T,T,T,Group Tour/Travel - T,0,0,47,47,151,183,0,6063,19439,128.735099,129,0,0,1.51222651,.168014865,T,T,Group Tour/Travel - T,T / T,0,0,47,47,6063,151,183,19439,0,0,129,128.735099,0,1.51222651,.168014865
U,U,U,Group SMERF - U,0,0,102,136,7424,11317,0,10468,981327.33,132.183099,102.627451,0,0,3.28185328,8.26054544,U,U,Group SMERF - U,U / U,0,0,102,136,10468,7424,11317,981327.33,0,0,102.627451,132.183099,0,3.28185328,8.26054544
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001112681,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001112681
W,W,W,Wholesale - W,2,2,98,104,1095,1256,310,10391.94,127671.02,116.594539,106.040204,155,.772200772,3.15315315,1.21838594,W,W,Wholesale - W,W / W,2,310,98,104,10391.94,1095,1256,127671.02,2,155,106.040204,116.594539,.772200772,3.15315315,1.21838594
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
101,124,1849,2345,51368,69055,140.809307,131.759605,138.378109,,14221.74,243623.510,7108206.69,57.1562093,59.4916345,38.9961390,MONTH,Rooms Month to Date,Room Revenue Month to Date
