GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,27,29,27,29,3012,3536,4563,4563,516235.2,171.392829,169,169,10.4247104,2.08494208,4.16822352,A,A,Group Association- A,A / A,27,4563,27,29,4563,3012,3536,516235.2,29,169,169,171.392829,10.4247104,2.08494208,4.16822352
C,C,C,Group Corporate - C,16,16,78,78,2581,2742,2524,12462,418871,162.290198,159.769231,157.75,6.17760618,6.02316602,3.57177454,C,C,Corporate Group - C,C / C,16,2524,78,78,12462,2581,2742,418871,16,157.75,159.769231,162.290198,6.17760618,6.02316602,3.57177454
D,D,D,Discounts - D,23,38,187,322,9832,17281,3882.53,23857.55,1302557.33,132.481421,127.580481,168.805652,8.88030888,14.4401544,13.6062330,D,D,Discounts - D,D / D,23,3882.53,187,322,23857.55,9832,17281,1302557.33,38,168.805652,127.580481,132.481421,8.88030888,14.4401544,13.6062330
E,E,E,Consortium - E,6,6,24,26,922,942,1020,4088.5,160470.95,174.046584,170.354167,170,2.31660232,1.85328185,1.27593031,E,E,Consortium - E,E / E,6,1020,24,26,4088.5,922,942,160470.95,6,170,170.354167,174.046584,2.31660232,1.85328185,1.27593031
G,G,G,Rack - G,8,9,44,60,3349,4510,1703,7010.06,625601.35,186.802434,159.319545,212.875,3.08880309,3.39768340,4.63458851,G,G,Rack - G,G / G,8,1703,44,60,7010.06,3349,4510,625601.35,9,212.875,159.319545,186.802434,3.08880309,3.39768340,4.63458851
H,H,H,House Use - H,0,0,0,0,1,1,145.86,-193.14,11272.5,11272.5,0,0,0,0,.001383872,H,H,House Use - H,H / H,0,145.86,0,0,-193.14,1,1,11272.5,0,0,0,11272.5,0,0,.001383872
K,K,K,Package - K,0,0,5,9,787,1285,0,720,139724.74,177.540966,144,0,0,.386100386,1.08910754,K,K,Package - K,K / K,0,0,5,9,720,787,1285,139724.74,0,0,144,177.540966,0,.386100386,1.08910754
L,L,L,Local Corporate - L,0,0,1,1,420,427,0,179,66999.19,159.521881,179,0,0,.077220077,.581226388,L,L,Local Corporate- L,L / L,0,0,1,1,179,420,427,66999.19,0,0,179,159.521881,0,.077220077,.581226388
M,M,M,Government/Military - M,3,3,7,10,1079,1273,393,883,149921,138.944393,126.142857,131,1.15830116,.540540541,1.49319827,M,M,Government/Military - M,M / M,3,393,7,10,883,1079,1273,149921,3,131,126.142857,138.944393,1.15830116,.540540541,1.49319827
N,N,N,Complimentary - N,0,0,8,8,1304,1604,0,0,811.11,.622016871,0,0,0,.617760618,1.80456955,N,N,Complimentary - N,N / N,0,0,8,8,0,1304,1604,811.11,0,0,0,.622016871,0,.617760618,1.80456955
