GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,28,28,3874,4501,0,4376.06,676567.26,174.643072,156.287857,0,0,.386100386,4.49175044,A,A,Group Association- A,A / A,0,0,28,28,4376.06,3874,4501,676567.26,0,0,156.287857,174.643072,0,.386100386,4.49175044
C,C,C,Group Corporate - C,22,22,238,244,3275,3453,3214,40464,532485,162.590840,170.016807,146.090909,8.49420849,3.28185328,3.79723353,C,C,Corporate Group - C,C / C,22,3214,238,244,40464,3275,3453,532485,22,146.090909,170.016807,162.590840,8.49420849,3.28185328,3.79723353
D,D,D,Discounts - D,26,34,1494,2762,12580,22186,3712.62,192623.48,1659287.69,131.898862,128.931379,142.793077,10.0386100,20.6012135,14.5860146,D,D,Discounts - D,D / D,26,3712.62,1494,2762,192623.48,12580,22186,1659287.69,34,142.793077,128.931379,131.898862,10.0386100,20.6012135,14.5860146
E,E,E,Consortium - E,2,2,104,106,1122,1148,301.75,18635.5,197185.85,175.744964,179.1875,150.875,.772200772,1.43408715,1.30091481,E,E,Consortium - E,E / E,2,301.75,104,106,18635.5,1122,1148,197185.85,2,150.875,179.1875,175.744964,.772200772,1.43408715,1.30091481
G,G,G,Rack - G,7,7,253,308,3835,5130,1190,42094.25,708328.8,184.701121,166.380435,170,2.70270270,3.48869277,4.44653147,G,G,Rack - G,G / G,7,1190,253,308,42094.25,3835,5130,708328.8,7,170,166.380435,184.701121,2.70270270,3.48869277,4.44653147
H,H,H,House Use - H,0,0,0,0,1,1,0,-150.24,12789.95,12789.95,0,0,0,0,.001159461,H,H,House Use - H,H / H,0,0,0,0,-150.24,1,1,12789.95,0,0,0,12789.95,0,0,.001159461
K,K,K,Package - K,2,3,51,88,890,1459,380,10012,159106.74,178.771618,196.313725,190,.772200772,.703254275,1.03191995,K,K,Package - K,K / K,2,380,51,88,10012,890,1459,159106.74,3,190,196.313725,178.771618,.772200772,.703254275,1.03191995
L,L,L,Local Corporate - L,6,6,51,51,516,523,1116,7653,81339.65,157.634981,150.058824,186,2.31660232,.703254275,.598281679,L,L,Local Corporate- L,L / L,6,1116,51,51,7653,516,523,81339.65,6,186,150.058824,157.634981,2.31660232,.703254275,.598281679
M,M,M,Government/Military - M,3,3,131,144,1293,1518,405,17793,178903.5,138.363109,135.824427,135,1.15830116,1.80639823,1.49918258,M,M,Government/Military - M,M / M,3,405,131,144,17793,1293,1518,178903.5,3,135,135.824427,138.363109,1.15830116,1.80639823,1.49918258
N,N,N,Complimentary - N,2,2,21,23,1348,1649,0,-195,328.85,.243954006,-9.2857143,0,.772200772,.289575290,1.56295291,N,N,Complimentary - N,N / N,2,0,21,23,-195,1348,1649,328.85,2,0,-9.2857143,.243954006,.772200772,.289575290,1.56295291
O,O,O,Contract/Other - O,14,14,435,442,7163,7219,1428,44370,735789.12,102.720804,102,102,5.40540541,5.99834528,8.30521641,O,O,Contract/Other - O,O / O,14,1428,435,442,44370,7163,7219,735789.12,14,102,102,102.720804,5.40540541,5.99834528,8.30521641
P,P,P,National Corporate - P,17,17,261,267,3452,3604,2749.25,42456.64,590802.84,171.147984,162.669119,161.720588,6.56370656,3.59900717,4.00245806,P,P,National Corporate- P,P / P,17,2749.25,261,267,42456.64,3452,3604,590802.84,17,161.720588,162.669119,171.147984,6.56370656,3.59900717,4.00245806
Q,Q,Q,Group Govt/Military - Q,0,0,510,510,1499,1565,0,67294,194769,129.932622,131.949020,0,0,7.03254275,1.73803147,Q,Q,Group Govt/Military - Q,Q / Q,0,0,510,510,67294,1499,1565,194769,0,0,131.949020,129.932622,0,7.03254275,1.73803147
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.012754067,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.012754067
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.119424444,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.119424444
U,U,U,Group SMERF - U,0,0,310,535,7311,11169,0,53070,969660.33,132.630328,171.193548,0,0,4.27468285,8.47681658,U,U,Group SMERF - U,U / U,0,0,310,535,53070,7311,11169,969660.33,0,0,171.193548,132.630328,0,4.27468285,8.47681658
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001159461,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001159461
W,W,W,Wholesale - W,3,3,69,71,990,1145,333.5,8362.29,116409.08,117.584929,121.192609,111.166667,1.15830116,.951461666,1.14786601,W,W,Wholesale - W,W / W,3,333.5,69,71,8362.29,990,1145,116409.08,3,111.166667,121.192609,117.584929,1.15830116,.951461666,1.14786601
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
104,113,3956,5579,49264,66419,142.597308,138.740895,138.618741,,14830.12,548858.98,6828913.66,57.1196679,54.5504688,40.1544402,MONTH,Rooms Month to Date,Room Revenue Month to Date
