GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,2646,3141,0,0,458762.2,173.379516,0,0,0,0,4.60189920,A,A,Group Association- A,A / A,0,0,0,0,0,2646,3141,458762.2,0,0,0,173.379516,0,0,4.60189920
C,C,C,Group Corporate - C,29,29,85,85,2328,2489,3704,10390,380167,163.301976,122.235294,127.724138,11.1969112,3.64650365,4.04883648,C,C,Corporate Group - C,C / C,29,3704,85,85,10390,2328,2489,380167,29,127.724138,122.235294,163.301976,11.1969112,3.64650365,4.04883648
D,D,D,Discounts - D,23,32,322,663,7498,13152,3203.48,39041.66,1001283.69,133.540103,121.247391,139.281739,8.88030888,13.8138138,13.0404536,D,D,Discounts - D,D / D,23,3203.48,322,663,39041.66,7498,13152,1001283.69,32,139.281739,121.247391,133.540103,8.88030888,13.8138138,13.0404536
E,E,E,Consortium - E,7,7,36,36,646,662,1113.5,5304.25,116886.15,180.938313,147.340278,159.071429,2.70270270,1.54440154,1.12351734,E,E,Consortium - E,E / E,7,1113.5,36,36,5304.25,646,662,116886.15,7,159.071429,147.340278,180.938313,2.70270270,1.54440154,1.12351734
G,G,G,Rack - G,6,11,78,146,2784,3751,1068,11021.75,529981.5,190.366918,141.304487,178,2.31660232,3.34620335,4.84190754,G,G,Rack - G,G / G,6,1068,78,146,11021.75,2784,3751,529981.5,11,178,141.304487,190.366918,2.31660232,3.34620335,4.84190754
H,H,H,House Use - H,0,0,0,0,1,1,0,35.13,7267.02,7267.02,0,0,0,0,.001739191,H,H,House Use - H,H / H,0,0,0,0,35.13,1,1,7267.02,0,0,0,7267.02,0,0,.001739191
K,K,K,Package - K,0,0,12,27,710,1149,0,1725,127719.74,179.886958,143.75,0,0,.514800515,1.23482556,K,K,Package - K,K / K,0,0,12,27,1725,710,1149,127719.74,0,0,143.75,179.886958,0,.514800515,1.23482556
L,L,L,Local Corporate - L,2,2,6,6,384,390,324,847.6,60885.19,158.555182,141.266667,162,.772200772,.257400257,.667849316,L,L,Local Corporate- L,L / L,2,324,6,6,847.6,384,390,60885.19,2,162,141.266667,158.555182,.772200772,.257400257,.667849316
M,M,M,Government/Military - M,7,7,18,18,887,1044,1026,2487,124791,140.688839,138.166667,146.571429,2.70270270,.772200772,1.54266235,M,M,Government/Military - M,M / M,7,1026,18,18,2487,887,1044,124791,7,146.571429,138.166667,140.688839,2.70270270,.772200772,1.54266235
N,N,N,Complimentary - N,1,1,20,20,1227,1525,0,0,811.11,.661051345,0,0,.386100386,.858000858,2.13398727,N,N,Complimentary - N,N / N,1,0,20,20,0,1227,1525,811.11,1,0,0,.661051345,.386100386,.858000858,2.13398727
O,O,O,Contract/Other - O,20,20,185,188,4941,4985,2040,18972,508635.12,102.941736,102.551351,102,7.72200772,7.93650794,8.59334238,O,O,Contract/Other - O,O / O,20,2040,185,188,18972,4941,4985,508635.12,20,102,102.551351,102.941736,7.72200772,7.93650794,8.59334238
P,P,P,National Corporate - P,7,8,38,43,2583,2725,1174,6317.25,449951.03,174.197069,166.243421,167.714286,2.70270270,1.63020163,4.49233017,P,P,National Corporate- P,P / P,7,1174,38,43,6317.25,2583,2725,449951.03,8,167.714286,166.243421,174.197069,2.70270270,1.63020163,4.49233017
Q,Q,Q,Group Govt/Military - Q,8,9,16,18,535,594,1048,2096,72532,135.573832,131,131,3.08880309,.686400686,.930467147,Q,Q,Group Govt/Military - Q,Q / Q,8,1048,16,18,2096,535,594,72532,9,131,131,135.573832,3.08880309,.686400686,.930467147
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.019131100,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.019131100
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.179136666,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.179136666
U,U,U,Group SMERF - U,10,10,145,156,5367,8260,1340,18315,708866.43,132.078709,126.310345,134,3.86100386,6.22050622,9.33423771,U,U,Group SMERF - U,U / U,10,1340,145,156,18315,5367,8260,708866.43,10,134,126.310345,132.078709,3.86100386,6.22050622,9.33423771
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001739191,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001739191
W,W,W,Wholesale - W,1,1,11,11,728,875,105,1179,83116.29,114.170728,107.181818,105,.386100386,.471900472,1.26613100,W,W,Wholesale - W,W / W,1,105,11,11,1179,728,875,83116.29,1,105,107.181818,114.170728,.386100386,.471900472,1.26613100
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
121,137,972,1417,33380,44892,133.437851,121.123086,139.209571,,16145.98,117731.64,4646815.47,58.0541932,41.6988417,46.7181467,MONTH,Rooms Month to Date,Room Revenue Month to Date
