GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,23,23,2669,3164,0,2507,461269.2,172.824728,109,0,0,.341550342,4.31172356,A,A,Group Association- A,A / A,0,0,23,23,2507,2669,3164,461269.2,0,0,109,172.824728,0,.341550342,4.31172356
C,C,C,Group Corporate - C,0,0,164,164,2407,2568,0,21788,391565,162.677607,132.853659,0,0,2.43540244,3.88846707,C,C,Corporate Group - C,C / C,0,0,164,164,21788,2407,2568,391565,0,0,132.853659,162.677607,0,2.43540244,3.88846707
D,D,D,Discounts - D,22,42,775,1429,7951,13918,2090.52,99110.52,1061352.55,133.486675,127.884542,95.0236364,8.49420849,11.5087615,12.8447036,D,D,Discounts - D,D / D,22,2090.52,775,1429,99110.52,7951,13918,1061352.55,42,95.0236364,127.884542,133.486675,8.49420849,11.5087615,12.8447036
E,E,E,Consortium - E,1,1,136,136,746,762,106.25,20289.8,131871.7,176.771716,149.189706,106.25,.386100386,2.01960202,1.20515016,E,E,Consortium - E,E / E,1,106.25,136,136,20289.8,746,762,131871.7,1,106.25,149.189706,176.771716,.386100386,2.01960202,1.20515016
G,G,G,Rack - G,3,4,178,312,2884,3917,325.75,26006,544965.75,188.961772,146.101124,108.583333,1.15830116,2.64330264,4.65905236,G,G,Rack - G,G / G,3,325.75,178,312,26006,2884,3917,544965.75,4,108.583333,146.101124,188.961772,1.15830116,2.64330264,4.65905236
H,H,H,House Use - H,0,0,0,0,1,1,225,125.88,7357.77,7357.77,0,0,0,0,.001615483,H,H,House Use - H,H / H,0,225,0,0,125.88,1,1,7357.77,0,0,0,7357.77,0,0,.001615483
K,K,K,Package - K,3,6,28,50,726,1172,390,4085,130079.74,179.173196,145.892857,130,1.15830116,.415800416,1.17284050,K,K,Package - K,K / K,3,390,28,50,4085,726,1172,130079.74,6,130,145.892857,179.173196,1.15830116,.415800416,1.17284050
L,L,L,Local Corporate - L,0,0,27,27,405,411,0,4527.5,64565.09,159.419975,167.685185,0,0,.400950401,.654270529,L,L,Local Corporate- L,L / L,0,0,27,27,4527.5,405,411,64565.09,0,0,167.685185,159.419975,0,.400950401,.654270529
M,M,M,Government/Military - M,1,1,70,73,939,1099,131,9349,131653,140.205538,133.557143,131,.386100386,1.03950104,1.51693834,M,M,Government/Military - M,M / M,1,131,70,73,9349,939,1099,131653,1,131,133.557143,140.205538,.386100386,1.03950104,1.51693834
N,N,N,Complimentary - N,0,0,52,53,1259,1558,0,0,811.11,.644249404,0,0,0,.772200772,2.03389283,N,N,Complimentary - N,N / N,0,0,52,53,0,1259,1558,811.11,0,0,0,.644249404,0,.772200772,2.03389283
