GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,28,28,3874,4501,0,4376.06,676567.26,174.643072,156.287857,0,0,.491400491,4.57416788,A,A,Group Association- A,A / A,0,0,28,28,4376.06,3874,4501,676567.26,0,0,156.287857,174.643072,0,.491400491,4.57416788
C,C,C,Group Corporate - C,0,0,193,199,3230,3408,0,34053,526074,162.871207,176.440415,0,0,3.38715339,3.81377446,C,C,Corporate Group - C,C / C,0,0,193,199,34053,3230,3408,526074,0,0,176.440415,162.871207,0,3.38715339,3.81377446
D,D,D,Discounts - D,39,80,1294,2350,12380,21774,3525.04,171933.3,1638597.51,132.358442,132.869629,90.3856410,15.0579151,22.7097227,14.6175009,D,D,Discounts - D,D / D,39,3525.04,1294,2350,171933.3,12380,21774,1638597.51,80,90.3856410,132.869629,132.358442,15.0579151,22.7097227,14.6175009
E,E,E,Consortium - E,0,0,101,103,1119,1145,0,18202,196752.35,175.828731,180.217822,0,0,1.77255177,1.32124261,E,E,Consortium - E,E / E,0,0,101,103,18202,1119,1145,196752.35,0,0,180.217822,175.828731,0,1.77255177,1.32124261
G,G,G,Rack - G,6,8,227,271,3809,5093,730,38460.25,704694.8,185.007824,169.428414,121.666667,2.31660232,3.98385398,4.49742009,G,G,Rack - G,G / G,6,730,227,271,38460.25,3809,5093,704694.8,8,121.666667,169.428414,185.007824,2.31660232,3.98385398,4.49742009
H,H,H,House Use - H,0,0,0,0,1,1,0,-243.74,12696.45,12696.45,0,0,0,0,.001180735,H,H,House Use - H,H / H,0,0,0,0,-243.74,1,1,12696.45,0,0,0,12696.45,0,0,.001180735
K,K,K,Package - K,0,0,44,75,883,1446,-15,8907,158001.74,178.937418,202.431818,0,0,.772200772,1.04258912,K,K,Package - K,K / K,0,-15,44,75,8907,883,1446,158001.74,0,0,202.431818,178.937418,0,.772200772,1.04258912
L,L,L,Local Corporate - L,0,0,45,45,510,517,0,6537,80223.65,157.301275,145.266667,0,0,.789750790,.602174914,L,L,Local Corporate- L,L / L,0,0,45,45,6537,510,517,80223.65,0,0,145.266667,157.301275,0,.789750790,.602174914
M,M,M,Government/Military - M,1,1,124,137,1286,1511,135,16848,177958.5,138.381415,135.870968,135,.386100386,2.17620218,1.51842537,M,M,Government/Military - M,M / M,1,135,124,137,16848,1286,1511,177958.5,1,135,135.870968,138.381415,.386100386,2.17620218,1.51842537
N,N,N,Complimentary - N,0,0,16,18,1343,1644,0,-195,328.85,.244862249,-12.1875,0,0,.280800281,1.58572727,N,N,Complimentary - N,N / N,0,0,16,18,-195,1343,1644,328.85,0,0,-12.1875,.244862249,0,.280800281,1.58572727
O,O,O,Contract/Other - O,7,7,394,400,7122,7177,714,40188,731607.12,102.724954,102,102,2.70270270,6.91470691,8.40919557,O,O,Contract/Other - O,O / O,7,714,394,400,40188,7122,7177,731607.12,7,102,102,102.724954,2.70270270,6.91470691,8.40919557
P,P,P,National Corporate - P,0,0,241,247,3432,3584,0,39223.39,587569.59,171.203260,162.752656,0,0,4.22955423,4.05228295,P,P,National Corporate- P,P / P,0,0,241,247,39223.39,3432,3584,587569.59,0,0,162.752656,171.203260,0,4.22955423,4.05228295
Q,Q,Q,Group Govt/Military - Q,0,0,510,510,1499,1565,0,67294,194769,129.932622,131.949020,0,0,8.95050895,1.76992195,Q,Q,Group Govt/Military - Q,Q / Q,0,0,510,510,67294,1499,1565,194769,0,0,131.949020,129.932622,0,8.95050895,1.76992195
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.012988086,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.012988086
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.121615718,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.121615718
U,U,U,Group SMERF - U,0,0,310,535,7311,11169,0,53070,969660.33,132.630328,171.193548,0,0,5.44050544,8.63235450,U,U,Group SMERF - U,U / U,0,0,310,535,53070,7311,11169,969660.33,0,0,171.193548,132.630328,0,5.44050544,8.63235450
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001180735,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001180735
W,W,W,Wholesale - W,1,1,63,65,984,1139,175,7642.29,115689.08,117.570203,121.306190,175,.386100386,1.10565111,1.16184336,W,W,Wholesale - W,W / W,1,175,63,65,7642.29,984,1139,115689.08,1,175,121.306190,117.570203,.386100386,1.10565111,1.16184336
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
54,97,3590,4983,48898,65823,97.4822222,141.029401,138.785845,,5264.04,506295.55,6786350.23,57.7355862,63.0045630,20.8494208,MONTH,Rooms Month to Date,Room Revenue Month to Date
