GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,2646,3141,0,-2601,460552.2,174.056009,0,0,0,0,5.18589656,A,A,Group Association- A,A / A,0,0,0,0,-2601,2646,3141,460552.2,0,0,0,174.056009,0,0,5.18589656
C,C,C,Group Corporate - C,0,0,0,0,2243,2404,0,0,369777,164.858226,0,0,0,0,4.39605668,C,C,Corporate Group - C,C / C,0,0,0,0,0,2243,2404,369777,0,0,0,164.858226,0,0,4.39605668
D,D,D,Discounts - D,45,94,479,829,6025,10268,4542.01,58595.09,829268.38,137.637905,122.327954,100.933556,17.3745174,12.3294723,11.8084001,D,D,Discounts - D,D / D,45,4542.01,479,829,58595.09,6025,10268,829268.38,94,100.933556,122.327954,137.637905,17.3745174,12.3294723,11.8084001
E,E,E,Consortium - E,0,0,21,21,539,555,0,2939,102165.65,189.546660,139.952381,0,0,.540540541,1.05638634,E,E,Consortium - E,E / E,0,0,21,21,2939,539,555,102165.65,0,0,139.952381,189.546660,0,.540540541,1.05638634
G,G,G,Rack - G,3,5,112,200,2630,3499,369,14827.55,508427.75,193.318536,132.388839,123,1.15830116,2.88288288,5.15453815,G,G,Rack - G,G / G,3,369,112,200,14827.55,2630,3499,508427.75,5,123,132.388839,193.318536,1.15830116,2.88288288,5.15453815
H,H,H,House Use - H,0,0,1,1,1,1,0,-2213.84,7401.6,7401.6,-2213.84,0,0,.025740026,.001959900,H,H,House Use - H,H / H,0,0,1,1,-2213.84,1,1,7401.6,0,0,-2213.84,7401.6,0,.025740026,.001959900
K,K,K,Package - K,2,7,17,35,670,1080,275.5,2620.5,121889.24,181.924239,154.147059,137.75,.772200772,.437580438,1.31313329,K,K,Package - K,K / K,2,275.5,17,35,2620.5,670,1080,121889.24,7,137.75,154.147059,181.924239,.772200772,.437580438,1.31313329
L,L,L,Local Corporate - L,0,0,3,3,369,375,0,517.29,58592.09,158.786152,172.43,0,0,.077220077,.723203261,L,L,Local Corporate- L,L / L,0,0,3,3,517.29,369,375,58592.09,0,0,172.43,158.786152,0,.077220077,.723203261
M,M,M,Government/Military - M,0,0,15,15,821,973,0,1995,115962,141.244823,133,0,0,.386100386,1.60907826,M,M,Government/Military - M,M / M,0,0,15,15,1995,821,973,115962,0,0,133,141.244823,0,.386100386,1.60907826
N,N,N,Complimentary - N,1,1,87,87,1177,1475,0,224,811.11,.689133390,2.57471264,0,.386100386,2.23938224,2.30680281,N,N,Complimentary - N,N / N,1,0,87,87,224,1177,1475,811.11,1,0,2.57471264,.689133390,.386100386,2.23938224,2.30680281
O,O,O,Contract/Other - O,20,20,300,300,4427,4457,2040,30753,455901.12,102.981956,102.51,102,7.72200772,7.72200772,8.67647923,O,O,Contract/Other - O,O / O,20,2040,300,300,30753,4427,4457,455901.12,20,102,102.51,102.981956,7.72200772,7.72200772,8.67647923
