GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,6,6,887,1200,2633,3128,834,134020.5,461833.2,175.401899,151.094138,139,2.31660232,26.3439263,6.16122616,A,A,Group Association- A,A / A,6,834,887,1200,134020.5,2633,3128,461833.2,6,139,151.094138,175.401899,2.31660232,26.3439263,6.16122616
C,C,C,Group Corporate - C,1,1,23,23,2040,2183,139,3109,342981,168.127941,135.173913,139,.386100386,.683100683,4.77360477,C,C,Corporate Group - C,C / C,1,139,23,23,3109,2040,2183,342981,1,139,135.173913,168.127941,.386100386,.683100683,4.77360477
D,D,D,Discounts - D,34,62,313,520,4932,8361,4819.07,46688.92,688562.81,139.611275,149.165879,141.737353,13.1274131,9.29610930,11.5408915,D,D,Discounts - D,D / D,34,4819.07,313,520,46688.92,4932,8361,688562.81,62,141.737353,149.165879,139.611275,13.1274131,9.29610930,11.5408915
E,E,E,Consortium - E,3,3,36,36,490,497,507.45,6795.45,94481,192.818367,188.7625,169.15,1.15830116,1.06920107,1.14660115,E,E,Consortium - E,E / E,3,507.45,36,36,6795.45,490,497,94481,3,169.15,188.7625,192.818367,1.15830116,1.06920107,1.14660115
G,G,G,Rack - G,10,11,96,123,2454,3222,1971.25,19336.74,483177.45,196.893826,201.424375,197.125,3.86100386,2.85120285,5.74236574,G,G,Rack - G,G / G,10,1971.25,96,123,19336.74,2454,3222,483177.45,11,197.125,201.424375,196.893826,3.86100386,2.85120285,5.74236574
H,H,H,House Use - H,0,0,0,0,0,0,0,-98.45,8832.07,0,0,0,0,0,0,H,H,House Use - H,H / H,0,0,0,0,-98.45,0,0,8832.07,0,0,0,0,0,0,0
K,K,K,Package - K,1,1,5,10,635,1021,219,920,116094.74,182.826362,184,219,.386100386,.148500149,1.48590149,K,K,Package - K,K / K,1,219,5,10,920,635,1021,116094.74,1,219,184,182.826362,.386100386,.148500149,1.48590149
L,L,L,Local Corporate - L,2,2,3,3,353,359,324,449,56054.74,158.795297,149.666667,162,.772200772,.089100089,.826020826,L,L,Local Corporate- L,L / L,2,324,3,3,449,353,359,56054.74,2,162,149.666667,158.795297,.772200772,.089100089,.826020826
M,M,M,Government/Military - M,2,2,24,25,768,908,262,3204,108939,141.847656,133.5,131,.772200772,.712800713,1.79712180,M,M,Government/Military - M,M / M,2,262,24,25,3204,768,908,108939,2,131,133.5,141.847656,.772200772,.712800713,1.79712180
N,N,N,Complimentary - N,5,5,47,50,1014,1312,0,.01,587.11,.579003945,.000212766,0,1.93050193,1.39590140,2.37276237,N,N,Complimentary - N,N / N,5,0,47,50,.01,1014,1312,587.11,5,0,.000212766,.579003945,1.93050193,1.39590140,2.37276237
O,O,O,Contract/Other - O,31,31,329,335,3680,3710,3162,33660,379554.12,103.139707,102.310030,102,11.9691120,9.77130977,8.61120861,O,O,Contract/Other - O,O / O,31,3162,329,335,33660,3680,3710,379554.12,31,102,102.310030,103.139707,11.9691120,9.77130977,8.61120861
P,P,P,National Corporate - P,8,8,64,66,2313,2437,1322.95,10649.15,405436.63,175.286048,166.392969,165.36875,3.08880309,1.90080190,5.41242541,P,P,National Corporate- P,P / P,8,1322.95,64,66,10649.15,2313,2437,405436.63,8,165.36875,166.392969,175.286048,3.08880309,1.90080190,5.41242541
Q,Q,Q,Group Govt/Military - Q,0,0,0,0,411,444,0,0,57598,140.141119,0,0,0,0,.961740962,Q,Q,Group Govt/Military - Q,Q / Q,0,0,0,0,0,411,444,57598,0,0,0,140.141119,0,0,.961740962
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.025740026,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.025740026
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.241020241,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.241020241
U,U,U,Group SMERF - U,0,0,183,282,3560,6124,0,18145.41,509469.43,143.109390,99.1552459,0,0,5.43510544,8.33040833,U,U,Group SMERF - U,U / U,0,0,183,282,18145.41,3560,6124,509469.43,0,0,99.1552459,143.109390,0,5.43510544,8.33040833
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.002340002,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.002340002
W,W,W,Wholesale - W,1,1,18,18,665,806,199,2082,76051.29,114.362842,115.666667,199,.386100386,.534600535,1.55610156,W,W,Wholesale - W,W / W,1,199,18,18,2082,665,806,76051.29,1,199,115.666667,114.362842,.386100386,.534600535,1.55610156
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
104,133,2028,2691,26063,34661,132.305,137.555094,145.985212,,13759.72,278961.73,3804812.59,60.9874810,60.2316602,40.1544402,MONTH,Rooms Month to Date,Room Revenue Month to Date
