GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,28,28,3874,4501,0,4376.06,676567.26,174.643072,156.287857,0,0,.372786580,4.47830208,A,A,Group Association- A,A / A,0,0,28,28,4376.06,3874,4501,676567.26,0,0,156.287857,174.643072,0,.372786580,4.47830208
C,C,C,Group Corporate - C,18,18,256,262,3293,3471,2548,43012,535033,162.475858,168.015625,141.555556,6.94980695,3.40833444,3.80667237,C,C,Corporate Group - C,C / C,18,2548,256,262,43012,3293,3471,535033,18,141.555556,168.015625,162.475858,6.94980695,3.40833444,3.80667237
D,D,D,Discounts - D,39,51,1533,2813,12619,22237,5378.24,198001.72,1664665.93,131.917421,129.159635,137.903590,15.0579151,20.4100652,14.5874275,D,D,Discounts - D,D / D,39,5378.24,1533,2813,198001.72,12619,22237,1664665.93,51,137.903590,129.159635,131.917421,15.0579151,20.4100652,14.5874275
E,E,E,Consortium - E,3,3,107,109,1125,1151,463.25,19098.75,197649.1,175.688089,178.492991,154.416667,1.15830116,1.42457729,1.30048783,E,E,Consortium - E,E / E,3,463.25,107,109,19098.75,1125,1151,197649.1,3,154.416667,178.492991,175.688089,1.15830116,1.42457729,1.30048783
G,G,G,Rack - G,2,2,255,310,3837,5132,281.84,42376.09,708610.64,184.678301,166.180745,140.92,.772200772,3.39502064,4.43553048,G,G,Rack - G,G / G,2,281.84,255,310,42376.09,3837,5132,708610.64,2,140.92,166.180745,184.678301,.772200772,3.39502064,4.43553048
H,H,H,House Use - H,0,0,0,0,1,1,0,-150.24,12789.95,12789.95,0,0,0,0,.001155989,H,H,House Use - H,H / H,0,0,0,0,-150.24,1,1,12789.95,0,0,0,12789.95,0,0,.001155989
K,K,K,Package - K,2,3,53,91,892,1462,390,10402,159496.74,178.808004,196.264151,195,.772200772,.705631740,1.03114235,K,K,Package - K,K / K,2,390,53,91,10402,892,1462,159496.74,3,195,196.264151,178.808004,.772200772,.705631740,1.03114235
L,L,L,Local Corporate - L,7,7,58,58,523,530,1302,8955,82641.65,158.014627,154.396552,186,2.70270270,.772200772,.604582341,L,L,Local Corporate- L,L / L,7,1302,58,58,8955,523,530,82641.65,7,186,154.396552,158.014627,2.70270270,.772200772,.604582341
M,M,M,Government/Military - M,3,3,134,147,1296,1521,405,18198,179308.5,138.355324,135.805970,135,1.15830116,1.78405006,1.49816198,M,M,Government/Military - M,M / M,3,405,134,147,18198,1296,1521,179308.5,3,135,135.805970,138.355324,1.15830116,1.78405006,1.49816198
N,N,N,Complimentary - N,0,0,21,23,1348,1649,0,-195,328.85,.243954006,-9.2857143,0,0,.279589935,1.55827341,N,N,Complimentary - N,N / N,0,0,21,23,-195,1348,1649,328.85,0,0,-9.2857143,.243954006,0,.279589935,1.55827341
