GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,900,1213,2646,3141,0,135697.5,463510.2,175.173923,150.775,0,0,11.9824258,5.64431835,A,A,Group Association- A,A / A,0,0,900,1213,135697.5,2646,3141,463510.2,0,0,150.775,175.173923,0,11.9824258,5.64431835
C,C,C,Group Corporate - C,0,0,226,244,2243,2404,0,29905,369777,164.858226,132.323009,0,0,3.00892025,4.78465838,C,C,Corporate Group - C,C / C,0,0,226,244,29905,2243,2404,369777,0,0,132.323009,164.858226,0,3.00892025,4.78465838
D,D,D,Discounts - D,29,47,903,1563,5522,9404,4535,125239.51,767113.4,138.919486,138.692702,156.379310,11.1969112,12.0223672,11.7792615,D,D,Discounts - D,D / D,29,4535,903,1563,125239.51,5522,9404,767113.4,47,156.379310,138.692702,138.919486,11.1969112,12.0223672,11.7792615
E,E,E,Consortium - E,0,0,63,72,517,533,0,11383.85,99069.4,191.623598,180.696032,0,0,.838769804,1.10283922,E,E,Consortium - E,E / E,0,0,63,72,11383.85,517,533,99069.4,0,0,180.696032,191.623598,0,.838769804,1.10283922
G,G,G,Rack - G,1,1,160,200,2518,3299,148.75,29759.49,493600.2,196.028674,185.996813,148.75,.386100386,2.13020903,5.37127498,G,G,Rack - G,G / G,1,148.75,160,200,29759.49,2518,3299,493600.2,1,148.75,185.996813,196.028674,.386100386,2.13020903,5.37127498
H,H,H,House Use - H,0,0,0,0,0,0,0,331.04,9261.56,0,0,0,0,0,0,H,H,House Use - H,H / H,0,0,0,0,331.04,0,0,9261.56,0,0,0,0,0,0,0
K,K,K,Package - K,0,0,22,32,652,1043,0,3889,119063.74,182.613098,176.772727,0,0,.292903741,1.39081465,K,K,Package - K,K / K,0,0,22,32,3889,652,1043,119063.74,0,0,176.772727,182.613098,0,.292903741,1.39081465
L,L,L,Local Corporate - L,0,0,16,16,366,372,0,2469.06,58074.8,158.674317,154.31625,0,0,.213020903,.780733377,L,L,Local Corporate- L,L / L,0,0,16,16,2469.06,366,372,58074.8,0,0,154.31625,158.674317,0,.213020903,.780733377
M,M,M,Government/Military - M,3,3,61,74,805,957,403,8091,113826,141.398758,132.639344,134.333333,1.15830116,.812142191,1.71718680,M,M,Government/Military - M,M / M,3,403,61,74,8091,805,957,113826,3,134.333333,132.639344,141.398758,1.15830116,.812142191,1.71718680
N,N,N,Complimentary - N,4,4,117,120,1084,1382,0,.01,587.11,.541614391,.000085470,0,1.54440154,1.55771535,2.31233601,N,N,Complimentary - N,N / N,4,0,117,120,.01,1084,1382,587.11,4,0,.000085470,.541614391,1.54440154,1.55771535,2.31233601
O,O,O,Contract/Other - O,34,34,756,762,4107,4137,3468,77214,423108.12,103.021213,102.134921,102,13.1274131,10.0652377,8.76085241,O,O,Contract/Other - O,O / O,34,3468,756,762,77214,4107,4137,423108.12,34,102,102.134921,103.021213,13.1274131,10.0652377,8.76085241
P,P,P,National Corporate - P,7,7,142,144,2391,2515,1323,23518.55,418306.03,174.950243,165.623592,189,2.70270270,1.89056051,5.10036477,P,P,National Corporate- P,P / P,7,1323,142,144,23518.55,2391,2515,418306.03,7,189,165.623592,174.950243,2.70270270,1.89056051,5.10036477
Q,Q,Q,Group Govt/Military - Q,0,0,100,124,511,568,0,11790,69388,135.788650,117.9,0,0,1.33138064,1.09004032,Q,Q,Group Govt/Military - Q,Q / Q,0,0,100,124,11790,511,568,69388,0,0,117.9,135.788650,0,1.33138064,1.09004032
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.023464664,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.023464664
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.219714584,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.219714584
U,U,U,Group SMERF - U,1,1,297,430,3674,6272,112,29426.41,520750.43,141.739366,99.0788215,112,.386100386,3.95420051,7.83719789,U,U,Group SMERF - U,U / U,1,112,297,430,29426.41,3674,6272,520750.43,1,112,99.0788215,141.739366,.386100386,3.95420051,7.83719789
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.002133151,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.002133151
W,W,W,Wholesale - W,1,1,36,36,683,824,155,4392,78361.29,114.731025,122,155,.386100386,.479297031,1.45694234,W,W,Wholesale - W,W / W,1,155,36,36,4392,683,824,78361.29,1,155,122,114.731025,.386100386,.479297031,1.45694234
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
80,98,3799,5030,27834,37000,126.809375,129.799005,144.390216,,10144.75,493106.42,4018957.28,59.3741334,50.5791506,30.8880309,MONTH,Rooms Month to Date,Room Revenue Month to Date
