GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,29,29,3875,4502,0,4376.06,676567.26,174.598003,150.898621,0,0,.486822226,4.56139938,A,A,Group Association- A,A / A,0,0,29,29,4376.06,3875,4502,676567.26,0,0,150.898621,174.598003,0,.486822226,4.56139938
C,C,C,Group Corporate - C,0,0,193,199,3230,3408,0,34053,526074,162.871207,176.440415,0,0,3.23988585,3.80214709,C,C,Corporate Group - C,C / C,0,0,193,199,34053,3230,3408,526074,0,0,176.440415,162.871207,0,3.23988585,3.80214709
D,D,D,Discounts - D,36,79,1332,2432,12424,21867,3306.95,175240.25,1641904.46,132.155864,131.561749,91.8597222,13.8996139,22.3602484,14.6247293,D,D,Discounts - D,D / D,36,3306.95,1332,2432,175240.25,12424,21867,1641904.46,79,91.8597222,131.561749,132.155864,13.8996139,22.3602484,14.6247293
E,E,E,Consortium - E,0,0,101,103,1120,1146,0,18202,196752.35,175.671741,180.217822,0,0,1.69548430,1.31839156,E,E,Consortium - E,E / E,0,0,101,103,18202,1120,1146,196752.35,0,0,180.217822,175.671741,0,1.69548430,1.31839156
G,G,G,Rack - G,2,4,229,275,3819,5106,244,38704.25,704938.8,184.587274,169.014192,122,.772200772,3.84421689,4.49547980,G,G,Rack - G,G / G,2,244,229,275,38704.25,3819,5106,704938.8,4,122,169.014192,184.587274,.772200772,3.84421689,4.49547980
H,H,H,House Use - H,0,0,0,0,1,1,93.5,-150.24,12789.95,12789.95,0,0,0,0,.001177135,H,H,House Use - H,H / H,0,93.5,0,0,-150.24,1,1,12789.95,0,0,0,12789.95,0,0,.001177135
K,K,K,Package - K,1,2,46,78,885,1449,145,9052,158146.74,178.696881,196.782609,145,.386100386,.772200772,1.04176476,K,K,Package - K,K / K,1,145,46,78,9052,885,1449,158146.74,2,145,196.782609,178.696881,.386100386,.772200772,1.04176476
L,L,L,Local Corporate - L,0,0,45,45,511,518,0,6537,80223.65,156.993444,145.266667,0,0,.755413799,.601516150,L,L,Local Corporate- L,L / L,0,0,45,45,6537,511,518,80223.65,0,0,145.266667,156.993444,0,.755413799,.601516150
M,M,M,Government/Military - M,1,1,125,138,1289,1515,135,16983,178093.5,138.164081,135.864,135,.386100386,2.09837166,1.51732743,M,M,Government/Military - M,M / M,1,135,125,138,16983,1289,1515,178093.5,1,135,135.864,138.164081,.386100386,2.09837166,1.51732743
N,N,N,Complimentary - N,0,0,16,18,1344,1646,0,-195,328.85,.244680060,-12.1875,0,0,.268591573,1.58206987,N,N,Complimentary - N,N / N,0,0,16,18,-195,1344,1646,328.85,0,0,-12.1875,.244680060,0,.268591573,1.58206987
O,O,O,Contract/Other - O,4,4,398,404,7127,7182,408,40596,732015.12,102.710133,102,102,1.54440154,6.68121538,8.38944345,O,O,Contract/Other - O,O / O,4,408,398,404,40596,7127,7182,732015.12,4,102,102,102.710133,1.54440154,6.68121538,8.38944345
P,P,P,National Corporate - P,0,0,241,247,3432,3584,0,39223.39,587569.59,171.203260,162.752656,0,0,4.04566057,4.03992843,P,P,National Corporate- P,P / P,0,0,241,247,39223.39,3432,3584,587569.59,0,0,162.752656,171.203260,0,4.04566057,4.03992843
Q,Q,Q,Group Govt/Military - Q,0,0,512,512,1501,1567,0,67294,194769,129.759494,131.433594,0,0,8.59493033,1.76688012,Q,Q,Group Govt/Military - Q,Q / Q,0,0,512,512,67294,1501,1567,194769,0,0,131.433594,129.759494,0,8.59493033,1.76688012
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.012948489,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.012948489
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.121244938,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.121244938
U,U,U,Group SMERF - U,0,0,310,535,7311,11169,0,53070,969660.33,132.630328,171.193548,0,0,5.20396173,8.60603635,U,U,Group SMERF - U,U / U,0,0,310,535,53070,7311,11169,969660.33,0,0,171.193548,132.630328,0,5.20396173,8.60603635
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001177135,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001177135
W,W,W,Wholesale - W,1,1,65,67,987,1142,155,7797.29,115844.08,117.369889,119.958308,155,.386100386,1.09115327,1.16183256,W,W,Wholesale - W,W / W,1,155,65,67,7797.29,987,1142,115844.08,1,155,119.958308,117.369889,.386100386,1.09115327,1.16183256
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
45,91,3642,5082,48971,65951,99.7211111,140.247941,138.670594,,4487.45,510783,6790837.68,57.6454939,61.1381568,17.3745174,MONTH,Rooms Month to Date,Room Revenue Month to Date
