GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,23,23,2669,3164,0,2507,461269.2,172.824728,109,0,0,.317153889,4.27594162,A,A,Group Association- A,A / A,0,0,23,23,2507,2669,3164,461269.2,0,0,109,172.824728,0,.317153889,4.27594162
C,C,C,Group Corporate - C,0,0,164,164,2407,2568,0,21788,391565,162.677607,132.853659,0,0,2.26144512,3.85619763,C,C,Corporate Group - C,C / C,0,0,164,164,21788,2407,2568,391565,0,0,132.853659,162.677607,0,2.26144512,3.85619763
D,D,D,Discounts - D,13,28,835,1551,8011,14040,1706.3,105730.99,1067973.02,133.313322,126.623940,131.253846,5.01930502,11.5140651,12.8342332,D,D,Discounts - D,D / D,13,1706.3,835,1551,105730.99,8011,14040,1067973.02,28,131.253846,126.623940,133.313322,5.01930502,11.5140651,12.8342332
E,E,E,Consortium - E,1,1,138,138,748,764,148.75,20544.8,132126.7,176.639973,148.875362,148.75,.386100386,1.90292333,1.19835307,E,E,Consortium - E,E / E,1,148.75,138,138,20544.8,748,764,132126.7,1,148.75,148.875362,176.639973,.386100386,1.90292333,1.19835307
G,G,G,Rack - G,6,8,198,345,2904,3950,1353.25,29346,548305.75,188.810520,148.212121,225.541667,2.31660232,2.73028130,4.65242955,G,G,Rack - G,G / G,6,1353.25,198,345,29346,2904,3950,548305.75,8,225.541667,148.212121,188.810520,2.31660232,2.73028130,4.65242955
H,H,H,House Use - H,0,0,0,0,1,1,0,125.88,7357.77,7357.77,0,0,0,0,.001602076,H,H,House Use - H,H / H,0,0,0,0,125.88,1,1,7357.77,0,0,0,7357.77,0,0,.001602076
K,K,K,Package - K,0,0,29,54,727,1176,0,4225,130219.74,179.119312,145.689655,0,0,.399889686,1.16470946,K,K,Package - K,K / K,0,0,29,54,4225,727,1176,130219.74,0,0,145.689655,179.119312,0,.399889686,1.16470946
L,L,L,Local Corporate - L,0,0,27,27,405,411,0,4527.5,64565.09,159.419975,167.685185,0,0,.372311087,.648840898,L,L,Local Corporate- L,L / L,0,0,27,27,4527.5,405,411,64565.09,0,0,167.685185,159.419975,0,.372311087,.648840898
M,M,M,Government/Military - M,2,2,72,75,941,1101,262,9611,131915,140.185972,133.486111,131,.772200772,.992829564,1.50755379,M,M,Government/Military - M,M / M,2,262,72,75,9611,941,1101,131915,2,131,133.486111,140.185972,.772200772,.992829564,1.50755379
N,N,N,Complimentary - N,0,0,52,53,1259,1558,0,0,811.11,.644249404,0,0,0,.717043574,2.01701405,N,N,Complimentary - N,N / N,0,0,52,53,0,1259,1558,811.11,0,0,0,.644249404,0,.717043574,2.01701405
O,O,O,Contract/Other - O,20,20,574,578,5330,5375,2040,58650,548313.12,102.873006,102.177700,102,7.72200772,7.91505792,8.53906663,O,O,Contract/Other - O,O / O,20,2040,574,578,58650,5330,5375,548313.12,20,102,102.177700,102.873006,7.72200772,7.91505792,8.53906663
P,P,P,National Corporate - P,4,4,152,161,2697,2843,662,24933,468566.78,173.736292,164.032895,165.5,1.54440154,2.09597352,4.32079976,P,P,National Corporate- P,P / P,4,662,152,161,24933,2697,2843,468566.78,4,165.5,164.032895,173.736292,1.54440154,2.09597352,4.32079976
Q,Q,Q,Group Govt/Military - Q,0,0,313,322,832,898,0,36472,106908,128.495192,116.523962,0,0,4.31605074,1.33292747,Q,Q,Group Govt/Military - Q,Q / Q,0,0,313,322,36472,832,898,106908,0,0,116.523962,128.495192,0,4.31605074,1.33292747
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.017622839,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.017622839
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.165013858,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.165013858
U,U,U,Group SMERF - U,9,17,330,428,5552,8532,891,39189,729740.43,131.437397,118.754545,99,3.47490347,4.55046884,8.89472757,U,U,Group SMERF - U,U / U,9,891,330,428,39189,5552,8532,729740.43,17,99,118.754545,131.437397,3.47490347,4.55046884,8.89472757
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001602076,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001602076
W,W,W,Wholesale - W,0,0,20,23,737,887,0,2471.5,84408.79,114.530244,123.575,0,0,.275785990,1.18073023,W,W,Wholesale - W,W / W,0,0,20,23,2471.5,737,887,84408.79,0,0,123.575,114.530244,0,.275785990,1.18073023
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
55,80,2927,3942,35335,47417,128.423636,123.034394,138.367214,,7063.3,360121.67,4889205.5,56.6093657,40.3612796,21.2355212,MONTH,Rooms Month to Date,Room Revenue Month to Date
