GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,148,189,3133,3696,0,18234,529906.2,169.136993,123.202703,0,0,4.76190476,4.22955423,A,A,Group Association- A,A / A,0,0,148,189,18234,3133,3696,529906.2,0,0,123.202703,169.136993,0,4.76190476,4.22955423
C,C,C,Group Corporate - C,52,52,218,218,2721,2882,8268,34891,441300,162.183021,160.050459,159,20.0772201,7.01415701,3.67335367,C,C,Corporate Group - C,C / C,52,8268,218,218,34891,2721,2882,441300,52,159,160.050459,162.183021,20.0772201,7.01415701,3.67335367
D,D,D,Discounts - D,35,44,479,805,10124,17764,5429.93,63274.88,1341974.66,132.553799,132.097871,155.140857,13.5135135,15.4118404,13.6674137,D,D,Discounts - D,D / D,35,5429.93,479,805,63274.88,10124,17764,1341974.66,44,155.140857,132.097871,132.553799,13.5135135,15.4118404,13.6674137
E,E,E,Consortium - E,10,10,46,48,944,964,1763,7816,164198.45,173.939036,169.913043,176.3,3.86100386,1.48005148,1.27440127,E,E,Consortium - E,E / E,10,1763,46,48,7816,944,964,164198.45,10,176.3,169.913043,173.939036,3.86100386,1.48005148,1.27440127
G,G,G,Rack - G,13,13,105,137,3410,4587,2463,17066.56,635657.85,186.409927,162.538667,189.461538,5.01930502,3.37837838,4.60350460,G,G,Rack - G,G / G,13,2463,105,137,17066.56,3410,4587,635657.85,13,189.461538,162.538667,186.409927,5.01930502,3.37837838,4.60350460
H,H,H,House Use - H,0,0,0,0,1,1,-180,51.86,11517.5,11517.5,0,0,0,0,.001350001,H,H,House Use - H,H / H,0,-180,0,0,51.86,1,1,11517.5,0,0,0,11517.5,0,0,.001350001
K,K,K,Package - K,3,3,20,30,802,1306,615,3400,142404.74,177.562020,170,205,1.15830116,.643500644,1.08270108,K,K,Package - K,K / K,3,615,20,30,3400,802,1306,142404.74,3,205,170,177.562020,1.15830116,.643500644,1.08270108
L,L,L,Local Corporate - L,3,3,5,5,424,431,456.73,802.46,67622.65,159.487382,160.492,152.243333,1.15830116,.160875161,.572400572,L,L,Local Corporate- L,L / L,3,456.73,5,5,802.46,424,431,67622.65,3,152.243333,160.492,159.487382,1.15830116,.160875161,.572400572
M,M,M,Government/Military - M,3,3,17,20,1089,1283,405,2209,151247,138.886134,129.941176,135,1.15830116,.546975547,1.47015147,M,M,Government/Military - M,M / M,3,405,17,20,2209,1089,1283,151247,3,135,129.941176,138.886134,1.15830116,.546975547,1.47015147
N,N,N,Complimentary - N,0,0,13,13,1309,1609,-192.26,-192.26,618.85,.472765470,-14.789231,0,0,.418275418,1.76715177,N,N,Complimentary - N,N / N,0,-192.26,13,13,-192.26,1309,1609,618.85,0,0,-14.789231,.472765470,0,.418275418,1.76715177
O,O,O,Contract/Other - O,20,20,240,241,6314,6363,2040,24480,649089.12,102.801571,102,102,7.72200772,7.72200772,8.52390852,O,O,Contract/Other - O,O / O,20,2040,240,241,24480,6314,6363,649089.12,20,102,102,102.801571,7.72200772,7.72200772,8.52390852
P,P,P,National Corporate - P,9,9,95,95,3066,3212,1490,15252,528499.14,172.374149,160.547368,165.555556,3.47490347,3.05662806,4.13910414,P,P,National Corporate- P,P / P,9,1490,95,95,15252,3066,3212,528499.14,9,165.555556,160.547368,172.374149,3.47490347,3.05662806,4.13910414
Q,Q,Q,Group Govt/Military - Q,0,0,1,1,989,1055,0,131,127475,128.892821,131,0,0,.032175032,1.33515134,Q,Q,Group Govt/Military - Q,Q / Q,0,0,1,1,131,989,1055,127475,0,0,131,128.892821,0,.032175032,1.33515134
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.014850015,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.014850015
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.139050139,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.139050139
U,U,U,Group SMERF - U,2,2,102,118,6656,10118,278,1557.9,877171.33,131.786558,15.2735294,139,.772200772,3.28185328,8.98560899,U,U,Group SMERF - U,U / U,2,278,102,118,1557.9,6656,10118,877171.33,2,139,15.2735294,131.786558,.772200772,3.28185328,8.98560899
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001350001,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001350001
W,W,W,Wholesale - W,0,0,3,3,819,969,0,285,94596.79,115.502796,95,0,0,.096525097,1.10565111,W,W,Wholesale - W,W / W,0,0,3,3,285,819,969,94596.79,0,0,95,115.502796,0,.096525097,1.10565111
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
150,159,1492,1923,41916,56389,152.242667,126.849464,137.857603,,22836.4,189259.4,5778439.28,56.5866566,48.0051480,57.9150579,MONTH,Rooms Month to Date,Room Revenue Month to Date
