GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,861,966,3846,4473,0,160519,672191.2,174.776703,186.433217,0,0,13.8513514,4.98302713,A,A,Group Association- A,A / A,0,0,861,966,160519,3846,4473,672191.2,0,0,186.433217,174.776703,0,13.8513514,4.98302713
C,C,C,Group Corporate - C,25,25,321,332,2824,2996,3975,52678,459087,162.566218,164.105919,159,9.65250965,5.16409266,3.65888420,C,C,Corporate Group - C,C / C,25,3975,321,332,52678,2824,2996,459087,25,159,164.105919,162.566218,9.65250965,5.16409266,3.65888420
D,D,D,Discounts - D,34,47,981,1727,10626,18686,4332.5,125324.32,1404024.1,132.131009,127.751600,127.426471,13.1274131,15.7818533,13.7674587,D,D,Discounts - D,D / D,34,4332.5,981,1727,125324.32,10626,18686,1404024.1,47,127.426471,127.751600,132.131009,13.1274131,15.7818533,13.7674587
E,E,E,Consortium - E,13,13,96,98,994,1014,2017,17769.65,174152.1,175.203320,185.100521,155.153846,5.01930502,1.54440154,1.28786505,E,E,Consortium - E,E / E,13,2017,96,98,17769.65,994,1014,174152.1,13,155.153846,185.100521,175.203320,5.01930502,1.54440154,1.28786505
G,G,G,Rack - G,7,7,206,266,3511,4716,1216.5,34386.56,652977.85,185.980590,166.925049,173.785714,2.70270270,3.31402831,4.54898811,G,G,Rack - G,G / G,7,1216.5,206,266,34386.56,3511,4716,652977.85,7,173.785714,166.925049,185.980590,2.70270270,3.31402831,4.54898811
H,H,H,House Use - H,0,0,0,0,1,1,139.6,1076.05,12541.69,12541.69,0,0,0,0,.001295639,H,H,House Use - H,H / H,0,139.6,0,0,1076.05,1,1,12541.69,0,0,0,12541.69,0,0,.001295639
K,K,K,Package - K,1,2,40,61,822,1337,175,6665,145669.74,177.213796,166.625,175,.386100386,.643500644,1.06501516,K,K,Package - K,K / K,1,175,40,61,6665,822,1337,145669.74,2,175,166.625,177.213796,.386100386,.643500644,1.06501516
L,L,L,Local Corporate - L,2,2,32,32,451,458,290,4657.46,71477.65,158.487029,145.545625,145,.772200772,.514800515,.584333135,L,L,Local Corporate- L,L / L,2,290,32,32,4657.46,451,458,71477.65,2,145,145.545625,158.487029,.772200772,.514800515,.584333135
M,M,M,Government/Military - M,7,7,55,65,1127,1328,945,7192.5,156230.5,138.625111,130.772727,135,2.70270270,.884813385,1.46018502,M,M,Government/Military - M,M / M,7,945,55,65,7192.5,1127,1328,156230.5,7,135,130.772727,138.625111,2.70270270,.884813385,1.46018502
N,N,N,Complimentary - N,1,1,28,28,1324,1624,0,-287.26,523.85,.395657100,-10.259286,0,.386100386,.450450450,1.71542588,N,N,Complimentary - N,N / N,1,0,28,28,-287.26,1324,1624,523.85,1,0,-10.259286,.395657100,.386100386,.450450450,1.71542588
