GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,158,159,335,338,2081,2266,27924,58622.5,386435.2,185.696877,174.992537,176.734177,61.0038610,25.8687259,5.11767454,A,A,Group Association- A,A / A,158,27924,335,338,58622.5,2081,2266,386435.2,159,176.734177,174.992537,185.696877,61.0038610,25.8687259,5.11767454
C,C,C,Group Corporate - C,2,2,2,2,2019,2162,270,270,340142,168.470530,135,135,.772200772,.154440154,4.96520178,C,C,Corporate Group - C,C / C,2,270,2,2,270,2019,2162,340142,2,135,135,168.470530,.772200772,.154440154,4.96520178
D,D,D,Discounts - D,30,48,102,149,4721,7990,6019.5,15986.42,657860.31,139.347662,156.729608,200.65,11.5830116,7.87644788,11.6100632,D,D,Discounts - D,D / D,30,6019.5,102,149,15986.42,4721,7990,657860.31,48,200.65,156.729608,139.347662,11.5830116,7.87644788,11.6100632
E,E,E,Consortium - E,5,5,13,13,467,474,1121.7,2281.7,89967.25,192.649358,175.515385,224.34,1.93050193,1.00386100,1.14846421,E,E,Consortium - E,E / E,5,1121.7,13,13,2281.7,467,474,89967.25,5,224.34,175.515385,192.649358,1.93050193,1.00386100,1.14846421
G,G,G,Rack - G,12,15,30,40,2388,3139,2776.2,6178.75,470019.46,196.825570,205.958333,231.35,4.63320463,2.31660232,5.87266065,G,G,Rack - G,G / G,12,2776.2,30,40,6178.75,2388,3139,470019.46,15,231.35,205.958333,196.825570,4.63320463,2.31660232,5.87266065
H,H,H,House Use - H,0,0,0,0,0,0,636.3,691.3,9621.82,0,0,0,0,0,0,H,H,House Use - H,H / H,0,636.3,0,0,691.3,0,0,9621.82,0,0,0,0,0,0,0
K,K,K,Package - K,1,1,1,1,631,1012,254,254,115428.74,182.929857,254,254,.386100386,.077220077,1.55177926,K,K,Package - K,K / K,1,254,1,1,254,631,1012,115428.74,1,254,254,182.929857,.386100386,.077220077,1.55177926
L,L,L,Local Corporate - L,0,0,1,1,351,357,0,125,55730.74,158.777037,125,0,0,.077220077,.863192583,L,L,Local Corporate- L,L / L,0,0,1,1,125,351,357,55730.74,0,0,125,158.777037,0,.077220077,.863192583
M,M,M,Government/Military - M,4,4,5,5,749,888,524,655,106390,142.042724,131,131,1.54440154,.386100386,1.84196936,M,M,Government/Military - M,M / M,4,524,5,5,655,749,888,106390,4,131,131,142.042724,1.54440154,.386100386,1.84196936
N,N,N,Complimentary - N,2,2,13,13,980,1275,0,0,587.1,.599081633,0,0,.772200772,1.00386100,2.41005337,N,N,Complimentary - N,N / N,2,0,13,13,0,980,1275,587.1,2,0,0,.599081633,.772200772,1.00386100,2.41005337
