GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,2646,3141,0,-2601,460552.2,174.056009,0,0,0,0,5.03261883,A,A,Group Association- A,A / A,0,0,0,0,-2601,2646,3141,460552.2,0,0,0,174.056009,0,0,5.03261883
C,C,C,Group Corporate - C,0,0,0,0,2243,2404,0,0,369777,164.858226,0,0,0,0,4.26612397,C,C,Corporate Group - C,C / C,0,0,0,0,0,2243,2404,369777,0,0,0,164.858226,0,0,4.26612397
D,D,D,Discounts - D,40,69,819,1367,6365,10806,5291.07,99715.61,870388.9,136.746096,121.752882,132.27675,15.4440154,15.0579151,12.1060540,D,D,Discounts - D,D / D,40,5291.07,819,1367,99715.61,6365,10806,870388.9,69,132.27675,121.752882,136.746096,15.4440154,15.0579151,12.1060540
E,E,E,Consortium - E,5,5,52,52,570,586,688.5,7154,106380.65,186.632719,137.576923,137.7,1.93050193,.956058099,1.08412424,E,E,Consortium - E,E / E,5,688.5,52,52,7154,570,586,106380.65,5,137.7,137.576923,186.632719,1.93050193,.956058099,1.08412424
G,G,G,Rack - G,3,5,148,246,2666,3545,480,20042.05,513642.25,192.664010,135.419257,160,1.15830116,2.72108844,5.07065827,G,G,Rack - G,G / G,3,480,148,246,20042.05,2666,3545,513642.25,5,160,135.419257,192.664010,1.15830116,2.72108844,5.07065827
H,H,H,House Use - H,0,0,1,1,1,1,0,-2457.88,7157.56,7157.56,-2457.88,0,0,.018385733,.001901972,H,H,House Use - H,H / H,0,0,1,1,-2457.88,1,1,7157.56,0,0,-2457.88,7157.56,0,.018385733,.001901972
K,K,K,Package - K,1,1,22,46,675,1091,170,3371,122639.74,181.688504,153.227273,170,.386100386,.404486119,1.28383133,K,K,Package - K,K / K,1,170,22,46,3371,675,1091,122639.74,1,170,153.227273,181.688504,.386100386,.404486119,1.28383133
L,L,L,Local Corporate - L,1,1,8,8,374,380,193.5,1422.79,59497.59,159.084465,177.84875,193.5,.386100386,.147085861,.711337657,L,L,Local Corporate- L,L / L,1,193.5,8,8,1422.79,374,380,59497.59,1,193.5,177.84875,159.084465,.386100386,.147085861,.711337657
M,M,M,Government/Military - M,5,5,48,53,854,1011,655,6378,120345,140.919204,132.875,131,1.93050193,.882515168,1.62428438,M,M,Government/Military - M,M / M,5,655,48,53,6378,854,1011,120345,5,131,132.875,140.919204,1.93050193,.882515168,1.62428438
N,N,N,Complimentary - N,1,1,99,99,1189,1487,0,224,811.11,.682178301,2.26262626,0,.386100386,1.82018753,2.26144512,N,N,Complimentary - N,N / N,1,0,99,99,224,1189,1487,811.11,1,0,2.26262626,.682178301,.386100386,1.82018753,2.26144512
